EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOEBENHAVN: LANDBOHOJSKOLEN-1, DENMARK (STAID: 116)
Blended and updated with sources:834 837 906180 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   116,   834,18740101,   10,    0
   116,   834,18740102,   27,    0
   116,   834,18740103,   34,    0
   116,   834,18740104,   30,    0
   116,   834,18740105,   27,    0
   116,   834,18740106,   17,    0
   116,   834,18740107,   34,    0
   116,   834,18740108,    8,    0
   116,   834,18740109,    0,    0
   116,   834,18740110,    7,    0
   116,   834,18740111,   10,    0
   116,   834,18740112,   22,    0
   116,   834,18740113,   14,    0
   116,   834,18740114,   40,    0
   116,   834,18740115,   37,    0
   116,   834,18740116,   44,    0
   116,   834,18740117,   41,    0
   116,   834,18740118,    9,    0
   116,   834,18740119,   36,    0
   116,   834,18740120,   44,    0
   116,   834,18740121,   54,    0
   116,   834,18740122,   52,    0
   116,   834,18740123,   33,    0
   116,   834,18740124,   37,    0
   116,   834,18740125,    2,    0
   116,   834,18740126,   36,    0
   116,   834,18740127,   34,    0
   116,   834,18740128,   17,    0
   116,   834,18740129,   14,    0
   116,   834,18740130,   47,    0
   116,   834,18740131,   17,    0
   116,   834,18740201,   16,    0
   116,   834,18740202,   18,    0
   116,   834,18740203,   45,    0
   116,   834,18740204,   14,    0
   116,   834,18740205,   32,    0
   116,   834,18740206,   26,    0
   116,   834,18740207,   26,    0
   116,   834,18740208,  -11,    0
   116,   834,18740209,  -50,    0
   116,   834,18740210,  -75,    0
   116,   834,18740211,  -32,    0
   116,   834,18740212,    2,    0
   116,   834,18740213,  -12,    0
   116,   834,18740214,   22,    0
   116,   834,18740215,-9999,    9
   116,   834,18740216,-9999,    9
   116,   834,18740217,   35,    0
   116,   834,18740218,   15,    0
   116,   834,18740219,   18,    0
   116,   834,18740220,   25,    0
   116,   834,18740221,   28,    0
   116,   834,18740222,-9999,    9
   116,   834,18740223,-9999,    9
   116,   834,18740224,-9999,    9
   116,   834,18740225,-9999,    9
   116,   834,18740226,   -2,    0
   116,   834,18740227,   22,    0
   116,   834,18740228,   12,    0
   116,   834,18740301,   -1,    0
   116,   834,18740302,    4,    0
   116,   834,18740303,   -1,    0
   116,   834,18740304,    1,    0
   116,   834,18740305,    4,    0
   116,   834,18740306,    8,    0
   116,   834,18740307,   38,    0
   116,   834,18740308,   54,    0
   116,   834,18740309,   26,    0
   116,   834,18740310,   22,    0
   116,   834,18740311,  -18,    0
   116,   834,18740312,  -32,    0
   116,   834,18740313,  -28,    0
   116,   834,18740314,-9999,    9
   116,   834,18740315,-9999,    9
   116,   834,18740316,    2,    0
   116,   834,18740317,   50,    0
   116,   834,18740318,   59,    0
   116,   834,18740319,   46,    0
   116,   834,18740320,   30,    0
   116,   834,18740321,   15,    0
   116,   834,18740322,   27,    0
   116,   834,18740323,   56,    0
   116,   834,18740324,   70,    0
   116,   834,18740325,   63,    0
   116,   834,18740326,   48,    0
   116,   834,18740327,   62,    0
   116,   834,18740328,   63,    0
   116,   834,18740329,   57,    0
   116,   834,18740330,   78,    0
   116,   834,18740331,   52,    0
   116,   834,18740401,   62,    0
   116,   834,18740402,   44,    0
   116,   834,18740403,   82,    0
   116,   834,18740404,   73,    0
   116,   834,18740405,   74,    0
   116,   834,18740406,   63,    0
   116,   834,18740407,   53,    0
   116,   834,18740408,   70,    0
   116,   834,18740409,   72,    0
   116,   834,18740410,   68,    0
   116,   834,18740411,   50,    0
   116,   834,18740412,   63,    0
   116,   834,18740413,   48,    0
   116,   834,18740414,   57,    0
   116,   834,18740415,   56,    0
   116,   834,18740416,   48,    0
   116,   834,18740417,   58,    0
   116,   834,18740418,   63,    0
   116,   834,18740419,   54,    0
   116,   834,18740420,   82,    0
   116,   834,18740421,  110,    0
   116,   834,18740422,  146,    0
   116,   834,18740423,   92,    0
   116,   834,18740424,  100,    0
   116,   834,18740425,   83,    0
   116,   834,18740426,   68,    0
   116,   834,18740427,   46,    0
   116,   834,18740428,   34,    0
   116,   834,18740429,   64,    0
   116,   834,18740430,   68,    0
   116,   834,18740501,   50,    0
   116,   834,18740502,   52,    0
   116,   834,18740503,   34,    0
   116,   834,18740504,   47,    0
   116,   834,18740505,   50,    0
   116,   834,18740506,   48,    0
   116,   834,18740507,   71,    0
   116,   834,18740508,   90,    0
   116,   834,18740509,  105,    0
   116,   834,18740510,  110,    0
   116,   834,18740511,  106,    0
   116,   834,18740512,  108,    0
   116,   834,18740513,   93,    0
   116,   834,18740514,   74,    0
   116,   834,18740515,   27,    0
   116,   834,18740516,   33,    0
   116,   834,18740517,   66,    0
   116,   834,18740518,   72,    0
   116,   834,18740519,   86,    0
   116,   834,18740520,  110,    0
   116,   834,18740521,   84,    0
   116,   834,18740522,   88,    0
   116,   834,18740523,   88,    0
   116,   834,18740524,   98,    0
   116,   834,18740525,   73,    0
   116,   834,18740526,   97,    0
   116,   834,18740527,   98,    0
   116,   834,18740528,  114,    0
   116,   834,18740529,  130,    0
   116,   834,18740530,  136,    0
   116,   834,18740531,  153,    0
   116,   834,18740601,  167,    0
   116,   834,18740602,  173,    0
   116,   834,18740603,  169,    0
   116,   834,18740604,  152,    0
   116,   834,18740605,  144,    0
   116,   834,18740606,  180,    0
   116,   834,18740607,  153,    0
   116,   834,18740608,  132,    0
   116,   834,18740609,  158,    0
   116,   834,18740610,  168,    0
   116,   834,18740611,  108,    0
   116,   834,18740612,  108,    0
   116,   834,18740613,  108,    0
   116,   834,18740614,-9999,    9
   116,   834,18740615,-9999,    9
   116,   834,18740616,-9999,    9
   116,   834,18740617,-9999,    9
   116,   834,18740618,-9999,    9
   116,   834,18740619,-9999,    9
   116,   834,18740620,-9999,    9
   116,   834,18740621,-9999,    9
   116,   834,18740622,-9999,    9
   116,   834,18740623,-9999,    9
   116,   834,18740624,  143,    0
   116,   834,18740625,  156,    0
   116,   834,18740626,  170,    0
   116,   834,18740627,  176,    0
   116,   834,18740628,  183,    0
   116,   834,18740629,  151,    0
   116,   834,18740630,  136,    0
   116,   834,18740701,  139,    0
   116,   834,18740702,  176,    0
   116,   834,18740703,  176,    0
   116,   834,18740704,  176,    0
