EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROTTERDAM, NETHERLANDS (STAID: 598)
Blended and updated with sources:2428 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   598,  2428,19561001,-9999,    9
   598,  2428,19561002,  154,    0
   598,  2428,19561003,  129,    0
   598,  2428,19561004,  105,    0
   598,  2428,19561005,   87,    0
   598,  2428,19561006,   89,    0
   598,  2428,19561007,   83,    0
   598,  2428,19561008,   95,    0
   598,  2428,19561009,  121,    0
   598,  2428,19561010,  107,    0
   598,  2428,19561011,   85,    0
   598,  2428,19561012,   93,    0
   598,  2428,19561013,  126,    0
   598,  2428,19561014,  111,    0
   598,  2428,19561015,  119,    0
   598,  2428,19561016,  128,    0
   598,  2428,19561017,  139,    0
   598,  2428,19561018,  137,    0
   598,  2428,19561019,  121,    0
   598,  2428,19561020,  132,    0
   598,  2428,19561021,  127,    0
   598,  2428,19561022,  120,    0
   598,  2428,19561023,  128,    0
   598,  2428,19561024,  131,    0
   598,  2428,19561025,   89,    0
   598,  2428,19561026,   67,    0
   598,  2428,19561027,   59,    0
   598,  2428,19561028,   79,    0
   598,  2428,19561029,   67,    0
   598,  2428,19561030,   51,    0
   598,  2428,19561031,   26,    0
   598,  2428,19561101,   32,    0
   598,  2428,19561102,   88,    0
   598,  2428,19561103,   88,    0
   598,  2428,19561104,   98,    0
   598,  2428,19561105,   95,    0
   598,  2428,19561106,   94,    0
   598,  2428,19561107,   64,    0
   598,  2428,19561108,   63,    0
   598,  2428,19561109,   79,    0
   598,  2428,19561110,   88,    0
   598,  2428,19561111,   84,    0
   598,  2428,19561112,   72,    0
   598,  2428,19561113,   55,    0
   598,  2428,19561114,   64,    0
   598,  2428,19561115,   70,    0
   598,  2428,19561116,   87,    0
   598,  2428,19561117,   71,    0
   598,  2428,19561118,   47,    0
   598,  2428,19561119,   42,    0
   598,  2428,19561120,    8,    0
   598,  2428,19561121,  -10,    0
   598,  2428,19561122,  -25,    0
   598,  2428,19561123,  -25,    0
   598,  2428,19561124,  -26,    0
   598,  2428,19561125,   53,    0
   598,  2428,19561126,   94,    0
   598,  2428,19561127,   85,    0
   598,  2428,19561128,   51,    0
   598,  2428,19561129,   39,    0
   598,  2428,19561130,   21,    0
   598,  2428,19561201,   39,    0
   598,  2428,19561202,   70,    0
   598,  2428,19561203,   93,    0
   598,  2428,19561204,   91,    0
   598,  2428,19561205,   90,    0
   598,  2428,19561206,   88,    0
   598,  2428,19561207,   89,    0
   598,  2428,19561208,   86,    0
   598,  2428,19561209,   79,    0
   598,  2428,19561210,   76,    0
   598,  2428,19561211,   81,    0
   598,  2428,19561212,   97,    0
   598,  2428,19561213,   66,    0
   598,  2428,19561214,   80,    0
   598,  2428,19561215,  100,    0
   598,  2428,19561216,  114,    0
   598,  2428,19561217,  102,    0
   598,  2428,19561218,   85,    0
   598,  2428,19561219,   46,    0
   598,  2428,19561220,   42,    0
