EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station THESSALONIKI, GREECE (STAID: 833)
Blended and updated with sources:55823 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   833, 55823,19980101,-9999,    9
   833, 55823,19980102,   63,    0
   833, 55823,19980103,   67,    0
   833, 55823,19980104,   54,    0
   833, 55823,19980105,   73,    0
   833, 55823,19980106,   90,    0
   833, 55823,19980107,  113,    0
   833, 55823,19980108,   66,    0
   833, 55823,19980109,   70,    0
   833, 55823,19980110,  137,    0
   833, 55823,19980111,   80,    0
   833, 55823,19980112,   79,    0
   833, 55823,19980113,   64,    0
   833, 55823,19980114,   60,    0
   833, 55823,19980115,   60,    0
   833, 55823,19980116,   65,    0
   833, 55823,19980117,   73,    0
   833, 55823,19980118,   78,    0
   833, 55823,19980119,   90,    0
   833, 55823,19980120,  112,    0
   833, 55823,19980121,   81,    0
   833, 55823,19980122,   74,    0
   833, 55823,19980123,   69,    0
   833, 55823,19980124,   48,    0
   833, 55823,19980125,   41,    0
   833, 55823,19980126,   36,    0
   833, 55823,19980127,   34,    0
   833, 55823,19980128,   38,    0
   833, 55823,19980129,   24,    0
   833, 55823,19980130,   26,    0
   833, 55823,19980131,   31,    0
   833, 55823,19980201,   42,    0
   833, 55823,19980202,   61,    0
   833, 55823,19980203,   64,    0
   833, 55823,19980204,   74,    0
   833, 55823,19980205,   77,    0
   833, 55823,19980206,   46,    0
   833, 55823,19980207,   52,    0
   833, 55823,19980208,   35,    0
   833, 55823,19980209,   58,    0
   833, 55823,19980210,   51,    0
   833, 55823,19980211,   65,    0
   833, 55823,19980212,  105,    0
   833, 55823,19980213,  175,    0
   833, 55823,19980214,  122,    0
   833, 55823,19980215,  136,    0
   833, 55823,19980216,  127,    0
   833, 55823,19980217,  125,    0
   833, 55823,19980218,   76,    0
   833, 55823,19980219,   56,    0
   833, 55823,19980220,   92,    0
   833, 55823,19980221,   92,    0
   833, 55823,19980222,  107,    0
   833, 55823,19980223,   97,    0
   833, 55823,19980224,  105,    0
   833, 55823,19980225,  132,    0
   833, 55823,19980226,   97,    0
   833, 55823,19980227,   93,    0
   833, 55823,19980228,   97,    0
   833, 55823,19980301,   93,    0
   833, 55823,19980302,  125,    0
   833, 55823,19980303,   98,    0
   833, 55823,19980304,  100,    0
   833, 55823,19980305,  103,    0
   833, 55823,19980306,  122,    0
   833, 55823,19980307,   82,    0
   833, 55823,19980308,   98,    0
   833, 55823,19980309,  130,    0
   833, 55823,19980310,   43,    0
   833, 55823,19980311,   36,    0
   833, 55823,19980312,   42,    0
   833, 55823,19980313,   74,    0
   833, 55823,19980314,   93,    0
   833, 55823,19980315,   91,    0
   833, 55823,19980316,   63,    0
   833, 55823,19980317,   64,    0
   833, 55823,19980318,   59,    0
   833, 55823,19980319,   97,    0
   833, 55823,19980320,   90,    0
   833, 55823,19980321,   65,    0
   833, 55823,19980322,   51,    0
   833, 55823,19980323,   69,    0
   833, 55823,19980324,   57,    0
   833, 55823,19980325,   77,    0
   833, 55823,19980326,   62,    0
   833, 55823,19980327,   79,    0
   833, 55823,19980328,   71,    0
   833, 55823,19980329,  107,    0
   833, 55823,19980330,   87,    0
   833, 55823,19980331,   92,    0
   833, 55823,19980401,  108,    0
   833, 55823,19980402,  111,    0
   833, 55823,19980403,  137,    0
   833, 55823,19980404,  163,    0
   833, 55823,19980405,  155,    0
   833, 55823,19980406,  152,    0
   833, 55823,19980407,  136,    0
   833, 55823,19980408,  135,    0
   833, 55823,19980409,  198,    0
   833, 55823,19980410,  205,    0
   833, 55823,19980411,  168,    0
   833, 55823,19980412,  170,    0
   833, 55823,19980413,  181,    0
   833, 55823,19980414,  161,    0
   833, 55823,19980415,  159,    0
   833, 55823,19980416,  155,    0
   833, 55823,19980417,  177,    0
   833, 55823,19980418,  203,    0
   833, 55823,19980419,  174,    0
   833, 55823,19980420,  152,    0
   833, 55823,19980421,  161,    0
   833, 55823,19980422,  168,    0
   833, 55823,19980423,  161,    0
   833, 55823,19980424,  127,    0
   833, 55823,19980425,  136,    0
   833, 55823,19980426,  133,    0
   833, 55823,19980427,  167,    0
   833, 55823,19980428,  179,    0
   833, 55823,19980429,  150,    0
   833, 55823,19980430,  161,    0
   833, 55823,19980501,  167,    0
   833, 55823,19980502,  186,    0
   833, 55823,19980503,  186,    0
   833, 55823,19980504,  217,    0
   833, 55823,19980505,  223,    0
   833, 55823,19980506,  189,    0
   833, 55823,19980507,  169,    0
   833, 55823,19980508,  193,    0
   833, 55823,19980509,  180,    0
   833, 55823,19980510,  165,    0
   833, 55823,19980511,  168,    0
   833, 55823,19980512,  212,    0
   833, 55823,19980513,  221,    0
   833, 55823,19980514,  205,    0
   833, 55823,19980515,  178,    0
   833, 55823,19980516,  155,    0
   833, 55823,19980517,  177,    0
   833, 55823,19980518,  173,    0
   833, 55823,19980519,  173,    0
   833, 55823,19980520,  198,    0
   833, 55823,19980521,  215,    0
   833, 55823,19980522,  224,    0
