EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RIGA; UNIVERCITY, LATVIA (STAID: 992)
Blended and updated with sources:6784 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   992,  6784,19430101,  -51,    0
   992,  6784,19430102,  -30,    0
   992,  6784,19430103,  -36,    0
   992,  6784,19430104,  -40,    0
   992,  6784,19430105,  -25,    0
   992,  6784,19430106,  -42,    0
   992,  6784,19430107,  -76,    0
   992,  6784,19430108, -104,    0
   992,  6784,19430109,  -80,    0
   992,  6784,19430110,  -89,    0
   992,  6784,19430111, -110,    0
   992,  6784,19430112,  -90,    0
   992,  6784,19430113, -134,    0
   992,  6784,19430114, -140,    0
   992,  6784,19430115, -115,    0
   992,  6784,19430116, -114,    0
   992,  6784,19430117, -108,    0
   992,  6784,19430118,  -57,    0
   992,  6784,19430119,  -75,    0
   992,  6784,19430120, -116,    0
   992,  6784,19430121,  -51,    0
   992,  6784,19430122,  -10,    0
   992,  6784,19430123,  -84,    0
   992,  6784,19430124, -146,    0
   992,  6784,19430125, -179,    0
   992,  6784,19430126, -161,    0
   992,  6784,19430127, -119,    0
   992,  6784,19430128,  -76,    0
   992,  6784,19430129,  -50,    0
   992,  6784,19430130,  -18,    0
   992,  6784,19430131,  -21,    0
   992,  6784,19430201,    4,    0
   992,  6784,19430202,   26,    0
   992,  6784,19430203,    8,    0
   992,  6784,19430204,   -2,    0
   992,  6784,19430205,   -4,    0
   992,  6784,19430206,   12,    0
   992,  6784,19430207,   20,    0
   992,  6784,19430208,  -26,    0
   992,  6784,19430209,  -66,    0
   992,  6784,19430210,  -48,    0
   992,  6784,19430211,  -10,    0
   992,  6784,19430212,   21,    0
   992,  6784,19430213,   23,    0
   992,  6784,19430214,   -6,    0
   992,  6784,19430215,  -12,    0
   992,  6784,19430216,   20,    0
   992,  6784,19430217,   -9,    0
   992,  6784,19430218,   -2,    0
   992,  6784,19430219,   16,    0
   992,  6784,19430220,   32,    0
   992,  6784,19430221,    8,    0
   992,  6784,19430222,   26,    0
   992,  6784,19430223,   24,    0
   992,  6784,19430224,    8,    0
   992,  6784,19430225,   30,    0
   992,  6784,19430226,   17,    0
   992,  6784,19430227,   20,    0
   992,  6784,19430228,   73,    0
   992,  6784,19430301,   22,    0
   992,  6784,19430302,    6,    0
   992,  6784,19430303,  -22,    0
   992,  6784,19430304,  -24,    0
   992,  6784,19430305,   10,    0
   992,  6784,19430306,   -4,    0
   992,  6784,19430307,  -32,    0
   992,  6784,19430308,    4,    0
   992,  6784,19430309,   47,    0
   992,  6784,19430310,   18,    0
   992,  6784,19430311,   50,    0
   992,  6784,19430312,   40,    0
   992,  6784,19430313,   22,    0
   992,  6784,19430314,   15,    0
   992,  6784,19430315,   22,    0
   992,  6784,19430316,   18,    0
   992,  6784,19430317,   19,    0
   992,  6784,19430318,   16,    0
   992,  6784,19430319,   35,    0
   992,  6784,19430320,   24,    0
   992,  6784,19430321,   49,    0
   992,  6784,19430322,   24,    0
   992,  6784,19430323,   33,    0
   992,  6784,19430324,   26,    0
   992,  6784,19430325,   36,    0
   992,  6784,19430326,   40,    0
   992,  6784,19430327,   62,    0
   992,  6784,19430328,   60,    0
   992,  6784,19430329,   70,    0
   992,  6784,19430330,   49,    0
   992,  6784,19430331,   62,    0
   992,  6784,19430401,   39,    0
   992,  6784,19430402,   10,    0
   992,  6784,19430403,   23,    0
   992,  6784,19430404,   32,    0
   992,  6784,19430405,   76,    0
   992,  6784,19430406,   98,    0
   992,  6784,19430407,   40,    0
   992,  6784,19430408,   22,    0
   992,  6784,19430409,   12,    0
   992,  6784,19430410,   11,    0
   992,  6784,19430411,   54,    0
   992,  6784,19430412,   25,    0
   992,  6784,19430413,   20,    0
   992,  6784,19430414,   83,    0
   992,  6784,19430415,  144,    0
   992,  6784,19430416,   91,    0
   992,  6784,19430417,   70,    0
   992,  6784,19430418,   56,    0
   992,  6784,19430419,   92,    0
   992,  6784,19430420,   71,    0
   992,  6784,19430421,   78,    0
   992,  6784,19430422,  110,    0
   992,  6784,19430423,  147,    0
   992,  6784,19430424,  163,    0
   992,  6784,19430425,  126,    0
   992,  6784,19430426,  110,    0
   992,  6784,19430427,   80,    0
   992,  6784,19430428,   76,    0
   992,  6784,19430429,   59,    0
   992,  6784,19430430,   20,    0
   992,  6784,19430501,   22,    0
   992,  6784,19430502,   58,    0
   992,  6784,19430503,   46,    0
   992,  6784,19430504,   78,    0
   992,  6784,19430505,   98,    0
   992,  6784,19430506,  117,    0
   992,  6784,19430507,  135,    0
   992,  6784,19430508,  102,    0
   992,  6784,19430509,  124,    0
   992,  6784,19430510,  107,    0
   992,  6784,19430511,   99,    0
   992,  6784,19430512,  102,    0
   992,  6784,19430513,   93,    0
   992,  6784,19430514,  186,    0
   992,  6784,19430515,  178,    0
