EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EDINBURGH: ROYAL BOTANIC GARDEN, UNITED KINGDOM (STAID: 1832)
Blended and updated with sources:7026 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1832,  7026,19600101,   64,    1
  1832,  7026,19600102,   14,    0
  1832,  7026,19600103,   39,    0
  1832,  7026,19600104,   36,    0
  1832,  7026,19600105,   42,    0
  1832,  7026,19600106,   39,    0
  1832,  7026,19600107,   36,    0
  1832,  7026,19600108,   16,    0
  1832,  7026,19600109,   30,    0
  1832,  7026,19600110,   22,    0
  1832,  7026,19600111,   22,    0
  1832,  7026,19600112,   50,    0
  1832,  7026,19600113,   34,    1
  1832,  7026,19600114,    8,    0
  1832,  7026,19600115,   19,    0
  1832,  7026,19600116,   25,    0
  1832,  7026,19600117,   25,    0
  1832,  7026,19600118,   44,    0
  1832,  7026,19600119,   22,    0
  1832,  7026,19600120,    6,    0
  1832,  7026,19600121,   50,    0
  1832,  7026,19600122,   78,    0
  1832,  7026,19600123,  111,    1
  1832,  7026,19600124,   58,    0
  1832,  7026,19600125,   42,    0
  1832,  7026,19600126,   28,    0
  1832,  7026,19600127,   28,    0
  1832,  7026,19600128,   25,    0
  1832,  7026,19600129,   20,    0
  1832,  7026,19600130,   28,    0
  1832,  7026,19600131,   53,    0
  1832,  7026,19600201,   69,    0
  1832,  7026,19600202,   80,    0
  1832,  7026,19600203,   92,    1
  1832,  7026,19600204,   70,    1
  1832,  7026,19600205,   42,    0
  1832,  7026,19600206,   28,    0
  1832,  7026,19600207,   25,    0
  1832,  7026,19600208,    8,    0
  1832,  7026,19600209,   11,    0
  1832,  7026,19600210,   25,    1
  1832,  7026,19600211,    8,    0
  1832,  7026,19600212,    8,    0
  1832,  7026,19600213,    2,    0
  1832,  7026,19600214,  -12,    0
  1832,  7026,19600215,    2,    0
  1832,  7026,19600216,    6,    0
  1832,  7026,19600217,  -16,    0
  1832,  7026,19600218,  -25,    0
  1832,  7026,19600219,   -3,    0
  1832,  7026,19600220,   12,    0
  1832,  7026,19600221,   11,    0
  1832,  7026,19600222,    6,    0
  1832,  7026,19600223,    6,    0
  1832,  7026,19600224,   16,    0
  1832,  7026,19600225,   22,    0
  1832,  7026,19600226,   36,    0
  1832,  7026,19600227,   58,    0
  1832,  7026,19600228,  100,    0
  1832,  7026,19600229,  106,    0
  1832,  7026,19600301,   94,    1
  1832,  7026,19600302,   64,    0
  1832,  7026,19600303,   64,    0
  1832,  7026,19600304,   36,    0
  1832,  7026,19600305,   64,    0
  1832,  7026,19600306,   70,    1
  1832,  7026,19600307,   50,    1
  1832,  7026,19600308,   28,    0
  1832,  7026,19600309,   11,    0
  1832,  7026,19600310,   34,    0
  1832,  7026,19600311,   61,    1
  1832,  7026,19600312,   48,    0
  1832,  7026,19600313,   61,    0
  1832,  7026,19600314,   84,    1
  1832,  7026,19600315,   64,    1
  1832,  7026,19600316,   52,    0
  1832,  7026,19600317,   52,    0
  1832,  7026,19600318,   44,    0
  1832,  7026,19600319,   58,    0
  1832,  7026,19600320,   58,    0
  1832,  7026,19600321,   80,    0
  1832,  7026,19600322,   53,    0
  1832,  7026,19600323,   66,    0
  1832,  7026,19600324,   48,    0
  1832,  7026,19600325,   53,    0
  1832,  7026,19600326,   56,    0
  1832,  7026,19600327,   58,    0
  1832,  7026,19600328,   64,    0
  1832,  7026,19600329,   58,    0
  1832,  7026,19600330,   64,    0
  1832,  7026,19600331,   56,    0
  1832,  7026,19600401,   64,    0
  1832,  7026,19600402,   72,    0
  1832,  7026,19600403,   84,    0
  1832,  7026,19600404,   92,    0
  1832,  7026,19600405,  117,    0
  1832,  7026,19600406,  116,    0
  1832,  7026,19600407,   92,    0
  1832,  7026,19600408,   94,    0
  1832,  7026,19600409,  114,    0
  1832,  7026,19600410,   84,    0
  1832,  7026,19600411,   92,    0
  1832,  7026,19600412,   88,    0
  1832,  7026,19600413,   86,    0
  1832,  7026,19600414,   75,    0
  1832,  7026,19600415,   92,    0
  1832,  7026,19600416,   61,    0
  1832,  7026,19600417,   72,    0
  1832,  7026,19600418,   98,    0
  1832,  7026,19600419,  117,    0
  1832,  7026,19600420,  117,    0
  1832,  7026,19600421,  100,    0
  1832,  7026,19600422,  112,    0
  1832,  7026,19600423,   94,    0
  1832,  7026,19600424,  106,    0
  1832,  7026,19600425,  100,    0
  1832,  7026,19600426,  100,    0
  1832,  7026,19600427,  102,    0
  1832,  7026,19600428,   92,    0
  1832,  7026,19600429,   84,    0
  1832,  7026,19600430,  103,    0
  1832,  7026,19600501,   75,    0
  1832,  7026,19600502,   75,    0
  1832,  7026,19600503,  114,    0
  1832,  7026,19600504,  114,    0
  1832,  7026,19600505,  144,    0
  1832,  7026,19600506,  136,    0
  1832,  7026,19600507,  136,    0
  1832,  7026,19600508,  120,    0
  1832,  7026,19600509,  116,    0
  1832,  7026,19600510,  144,    1
  1832,  7026,19600511,  108,    0
  1832,  7026,19600512,  125,    0
  1832,  7026,19600513,  114,    0
  1832,  7026,19600514,  128,    0
  1832,  7026,19600515,  122,    0
  1832,  7026,19600516,  125,    0
  1832,  7026,19600517,  138,    0
  1832,  7026,19600518,  100,    0
  1832,  7026,19600519,  103,    0
  1832,  7026,19600520,  103,    0
  1832,  7026,19600521,  116,    0
  1832,  7026,19600522,  119,    0
  1832,  7026,19600523,  134,    0
  1832,  7026,19600524,  114,    0
  1832,  7026,19600525,  108,    0
  1832,  7026,19600526,  162,    0
  1832,  7026,19600527,  150,    0
  1832,  7026,19600528,  122,    0
  1832,  7026,19600529,  120,    0
  1832,  7026,19600530,  125,    0
  1832,  7026,19600531,  134,    0
  1832,  7026,19600601,  156,    0
  1832,  7026,19600602,  161,    0
  1832,  7026,19600603,  170,    0
  1832,  7026,19600604,  184,    0
  1832,  7026,19600605,  186,    0
  1832,  7026,19600606,  161,    0
  1832,  7026,19600607,  130,    0
  1832,  7026,19600608,  139,    0
  1832,  7026,19600609,  134,    0
  1832,  7026,19600610,-9999,    9
  1832,  7026,19600611,-9999,    9
  1832,  7026,19600612,-9999,    9
  1832,  7026,19600613,-9999,    9
  1832,  7026,19600614,-9999,    9
  1832,  7026,19600615,-9999,    9
  1832,  7026,19600616,  161,    0
  1832,  7026,19600617,  178,    0
  1832,  7026,19600618,  172,    0
  1832,  7026,19600619,  144,    0
  1832,  7026,19600620,  170,    0
  1832,  7026,19600621,  161,    0
  1832,  7026,19600622,  161,    0
  1832,  7026,19600623,  156,    0
  1832,  7026,19600624,  161,    0
  1832,  7026,19600625,  150,    0
  1832,  7026,19600626,  152,    0
  1832,  7026,19600627,  142,    0
  1832,  7026,19600628,  120,    0
  1832,  7026,19600629,  122,    0
  1832,  7026,19600630,  136,    0
  1832,  7026,19600701,  139,    0
  1832,  7026,19600702,  150,    0
  1832,  7026,19600703,  144,    0
  1832,  7026,19600704,  144,    0
  1832,  7026,19600705,  139,    0
  1832,  7026,19600706,  128,    0
  1832,  7026,19600707,  144,    0
  1832,  7026,19600708,  150,    0
  1832,  7026,19600709,  153,    0
  1832,  7026,19600710,  122,    0
  1832,  7026,19600711,  139,    0
  1832,  7026,19600712,  150,    0
  1832,  7026,19600713,  158,    0
  1832,  7026,19600714,  161,    0
  1832,  7026,19600715,  144,    0
  1832,  7026,19600716,  142,    0
  1832,  7026,19600717,  148,    0
  1832,  7026,19600718,  142,    0
  1832,  7026,19600719,  148,    0
  1832,  7026,19600720,  150,    0
  1832,  7026,19600721,  122,    0
  1832,  7026,19600722,  125,    0
  1832,  7026,19600723,  139,    0
  1832,  7026,19600724,  153,    0
  1832,  7026,19600725,  152,    0
  1832,  7026,19600726,  139,    0
  1832,  7026,19600727,  144,    0
  1832,  7026,19600728,  175,    0
  1832,  7026,19600729,  158,    0
  1832,  7026,19600730,  156,    0
  1832,  7026,19600731,  144,    0
  1832,  7026,19600801,  136,    0
  1832,  7026,19600802,  148,    0
  1832,  7026,19600803,  150,    0
  1832,  7026,19600804,  142,    0
  1832,  7026,19600805,  178,    0
  1832,  7026,19600806,  156,    0
  1832,  7026,19600807,  164,    0
  1832,  7026,19600808,  138,    0
  1832,  7026,19600809,  125,    0
  1832,  7026,19600810,  125,    0
  1832,  7026,19600811,  142,    0
  1832,  7026,19600812,  125,    0
  1832,  7026,19600813,  142,    0
  1832,  7026,19600814,  122,    0
  1832,  7026,19600815,  136,    0
  1832,  7026,19600816,  144,    0
  1832,  7026,19600817,  139,    0
  1832,  7026,19600818,  122,    0
  1832,  7026,19600819,  125,    0
  1832,  7026,19600820,  139,    0
  1832,  7026,19600821,  150,    0
  1832,  7026,19600822,  172,    0
  1832,  7026,19600823,  170,    0
  1832,  7026,19600824,  130,    0
  1832,  7026,19600825,  186,    1
  1832,  7026,19600826,  150,    0
  1832,  7026,19600827,  144,    0
  1832,  7026,19600828,  150,    0
  1832,  7026,19600829,  128,    0
  1832,  7026,19600830,  147,    1
  1832,  7026,19600831,  122,    0
  1832,  7026,19600901,  122,    0
  1832,  7026,19600902,   97,    0
  1832,  7026,19600903,  144,    0
  1832,  7026,19600904,  125,    0
  1832,  7026,19600905,  114,    0
  1832,  7026,19600906,  117,    0
  1832,  7026,19600907,  156,    0
  1832,  7026,19600908,  144,    0
  1832,  7026,19600909,  166,    0
  1832,  7026,19600910,  136,    0
  1832,  7026,19600911,  169,    0
  1832,  7026,19600912,  142,    0
  1832,  7026,19600913,  148,    0
  1832,  7026,19600914,  136,    0
  1832,  7026,19600915,  125,    0
  1832,  7026,19600916,  108,    0
  1832,  7026,19600917,  133,    0
  1832,  7026,19600918,  128,    0
  1832,  7026,19600919,  119,    0
  1832,  7026,19600920,   92,    0
  1832,  7026,19600921,   97,    0
  1832,  7026,19600922,  122,    0
  1832,  7026,19600923,  102,    0
  1832,  7026,19600924,  142,    0
  1832,  7026,19600925,  108,    0
  1832,  7026,19600926,  108,    0
  1832,  7026,19600927,  111,    0
  1832,  7026,19600928,  111,    0
  1832,  7026,19600929,  116,    0
  1832,  7026,19600930,  100,    0
  1832,  7026,19601001,  106,    0
  1832,  7026,19601002,  114,    0
  1832,  7026,19601003,  144,    0
  1832,  7026,19601004,  136,    0
  1832,  7026,19601005,  108,    0
  1832,  7026,19601006,  120,    0
  1832,  7026,19601007,  125,    0
  1832,  7026,19601008,  106,    0
  1832,  7026,19601009,  114,    0
  1832,  7026,19601010,  102,    0
  1832,  7026,19601011,  100,    0
  1832,  7026,19601012,   72,    0
  1832,  7026,19601013,   53,    0
  1832,  7026,19601014,   86,    0
  1832,  7026,19601015,   81,    0
  1832,  7026,19601016,   78,    0
  1832,  7026,19601017,   64,    0
  1832,  7026,19601018,   84,    0
  1832,  7026,19601019,  102,    0
  1832,  7026,19601020,   97,    0
  1832,  7026,19601021,  106,    0
  1832,  7026,19601022,  108,    0
  1832,  7026,19601023,  100,    0
  1832,  7026,19601024,   94,    0
  1832,  7026,19601025,   98,    0
  1832,  7026,19601026,  111,    1
  1832,  7026,19601027,  100,    0
  1832,  7026,19601028,  100,    0
  1832,  7026,19601029,  103,    0
  1832,  7026,19601030,   98,    0
  1832,  7026,19601031,   70,    0
  1832,  7026,19601101,   64,    0
  1832,  7026,19601102,   83,    1
  1832,  7026,19601103,   44,    0
  1832,  7026,19601104,   72,    0
  1832,  7026,19601105,   78,    1
  1832,  7026,19601106,   36,    0
  1832,  7026,19601107,   20,    0
  1832,  7026,19601108,   17,    0
  1832,  7026,19601109,   28,    0
  1832,  7026,19601110,   62,    0
  1832,  7026,19601111,   78,    0
  1832,  7026,19601112,   75,    0
  1832,  7026,19601113,   84,    0
  1832,  7026,19601114,   80,    0
  1832,  7026,19601115,   66,    0
  1832,  7026,19601116,   61,    0
  1832,  7026,19601117,   44,    0
  1832,  7026,19601118,   17,    0
  1832,  7026,19601119,    2,    0
  1832,  7026,19601120,   25,    0
  1832,  7026,19601121,   50,    0
  1832,  7026,19601122,   75,    0
  1832,  7026,19601123,   81,    0
  1832,  7026,19601124,   69,    0
  1832,  7026,19601125,   56,    0
  1832,  7026,19601126,   48,    0
  1832,  7026,19601127,   28,    0
  1832,  7026,19601128,   42,    0
  1832,  7026,19601129,   56,    0
  1832,  7026,19601130,   78,    0
  1832,  7026,19601201,   72,    0
  1832,  7026,19601202,   64,    0
  1832,  7026,19601203,   56,    0
  1832,  7026,19601204,   44,    0
  1832,  7026,19601205,   42,    1
  1832,  7026,19601206,   -8,    0
  1832,  7026,19601207,  -22,    0
  1832,  7026,19601208,    0,    0
  1832,  7026,19601209,   20,    0
  1832,  7026,19601210,   28,    0
  1832,  7026,19601211,  -12,    0
  1832,  7026,19601212,   17,    1
  1832,  7026,19601213,   -8,    0
  1832,  7026,19601214,  -11,    0
  1832,  7026,19601215,   16,    0
  1832,  7026,19601216,   30,    0
  1832,  7026,19601217,   86,    1
  1832,  7026,19601218,   58,    1
  1832,  7026,19601219,  -31,    0
  1832,  7026,19601220,  -11,    0
  1832,  7026,19601221,   -2,    0
  1832,  7026,19601222,   25,    0
  1832,  7026,19601223,   52,    0
  1832,  7026,19601224,   31,    0
  1832,  7026,19601225,   64,    1
  1832,  7026,19601226,   36,    0
  1832,  7026,19601227,   25,    0
  1832,  7026,19601228,   30,    0
  1832,  7026,19601229,   20,    0
  1832,  7026,19601230,   34,    0
  1832,  7026,19601231,   39,    0
  1832,  7026,19610101,   39,    0
  1832,  7026,19610102,   50,    0
  1832,  7026,19610103,   20,    0
  1832,  7026,19610104,   44,    0
  1832,  7026,19610105,   25,    0
  1832,  7026,19610106,   44,    1
  1832,  7026,19610107,    0,    0
  1832,  7026,19610108,    6,    0
  1832,  7026,19610109,   30,    0
  1832,  7026,19610110,   25,    0
  1832,  7026,19610111,   25,    0
  1832,  7026,19610112,   36,    0
  1832,  7026,19610113,   56,    1
  1832,  7026,19610114,   14,    0
  1832,  7026,19610115,  -11,    0
  1832,  7026,19610116,   -3,    0
  1832,  7026,19610117,   25,    0
  1832,  7026,19610118,   30,    0
  1832,  7026,19610119,   36,    0
  1832,  7026,19610120,   34,    0
  1832,  7026,19610121,   34,    0
  1832,  7026,19610122,   28,    0
  1832,  7026,19610123,   47,    1
  1832,  7026,19610124,   28,    0
  1832,  7026,19610125,   28,    0
  1832,  7026,19610126,   36,    0
  1832,  7026,19610127,   47,    0
  1832,  7026,19610128,   42,    0
  1832,  7026,19610129,   56,    0
  1832,  7026,19610130,   44,    0
  1832,  7026,19610131,   36,    0
  1832,  7026,19610201,   50,    1
  1832,  7026,19610202,   28,    0
  1832,  7026,19610203,   14,    0
  1832,  7026,19610204,    3,    0
  1832,  7026,19610205,   36,    0
  1832,  7026,19610206,   36,    0
  1832,  7026,19610207,   50,    0
  1832,  7026,19610208,   83,    0
  1832,  7026,19610209,   81,    0
  1832,  7026,19610210,   80,    0
  1832,  7026,19610211,   75,    0
  1832,  7026,19610212,   80,    0
  1832,  7026,19610213,   84,    0
  1832,  7026,19610214,   97,    0
  1832,  7026,19610215,   89,    0
  1832,  7026,19610216,   78,    0
  1832,  7026,19610217,   56,    0
  1832,  7026,19610218,   86,    0
  1832,  7026,19610219,  100,    0
  1832,  7026,19610220,   89,    0
  1832,  7026,19610221,   44,    0
  1832,  7026,19610222,   33,    0
  1832,  7026,19610223,   36,    0
  1832,  7026,19610224,   53,    0
  1832,  7026,19610225,   39,    0
  1832,  7026,19610226,   62,    0
  1832,  7026,19610227,   66,    0
  1832,  7026,19610228,   67,    0
  1832,  7026,19610301,   84,    0
  1832,  7026,19610302,   84,    0
  1832,  7026,19610303,   78,    0
  1832,  7026,19610304,   92,    0
  1832,  7026,19610305,  108,    0
  1832,  7026,19610306,   58,    0
  1832,  7026,19610307,  106,    0
  1832,  7026,19610308,  100,    0
  1832,  7026,19610309,   94,    0
  1832,  7026,19610310,   97,    0
  1832,  7026,19610311,   92,    0
  1832,  7026,19610312,   94,    0
  1832,  7026,19610313,  102,    0
  1832,  7026,19610314,  111,    0
  1832,  7026,19610315,  100,    0
  1832,  7026,19610316,  108,    0
  1832,  7026,19610317,   78,    0
  1832,  7026,19610318,   61,    0
  1832,  7026,19610319,   58,    0
  1832,  7026,19610320,   80,    0
  1832,  7026,19610321,   72,    0
  1832,  7026,19610322,   92,    0
  1832,  7026,19610323,   86,    0
  1832,  7026,19610324,  100,    0
  1832,  7026,19610325,   97,    1
  1832,  7026,19610326,   83,    1
  1832,  7026,19610327,   39,    0
  1832,  7026,19610328,   72,    0
  1832,  7026,19610329,  100,    1
  1832,  7026,19610330,   34,    0
  1832,  7026,19610331,   53,    0
  1832,  7026,19610401,   44,    0
  1832,  7026,19610402,   34,    0
  1832,  7026,19610403,   20,    0
  1832,  7026,19610404,   14,    0
  1832,  7026,19610405,   39,    0
  1832,  7026,19610406,   58,    0
  1832,  7026,19610407,   64,    0
  1832,  7026,19610408,   42,    0
  1832,  7026,19610409,   61,    0
  1832,  7026,19610410,   86,    0
  1832,  7026,19610411,  114,    0
  1832,  7026,19610412,  116,    0
  1832,  7026,19610413,  116,    0
  1832,  7026,19610414,  100,    0
  1832,  7026,19610415,   98,    0
  1832,  7026,19610416,  106,    0
  1832,  7026,19610417,   88,    0
  1832,  7026,19610418,   92,    0
  1832,  7026,19610419,  100,    0
  1832,  7026,19610420,  120,    0
  1832,  7026,19610421,  134,    0
  1832,  7026,19610422,  106,    0
  1832,  7026,19610423,  106,    0
  1832,  7026,19610424,  114,    1
  1832,  7026,19610425,   72,    0
  1832,  7026,19610426,   83,    0
  1832,  7026,19610427,   92,    0
  1832,  7026,19610428,   89,    0
  1832,  7026,19610429,   86,    0
  1832,  7026,19610430,   98,    0
  1832,  7026,19610501,   80,    0
  1832,  7026,19610502,  108,    0
