EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRADFORD, UNITED KINGDOM (STAID: 1847)
Blended and updated with sources:7041 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1847,  7041,19600101,   86,    1
  1847,  7041,19600102,   34,    0
  1847,  7041,19600103,   52,    0
  1847,  7041,19600104,   61,    0
  1847,  7041,19600105,   47,    0
  1847,  7041,19600106,   34,    0
  1847,  7041,19600107,   25,    0
  1847,  7041,19600108,   25,    1
  1847,  7041,19600109,   20,    0
  1847,  7041,19600110,   14,    0
  1847,  7041,19600111,   20,    0
  1847,  7041,19600112,   17,    1
  1847,  7041,19600113,  -12,    0
  1847,  7041,19600114,  -16,    0
  1847,  7041,19600115,    0,    0
  1847,  7041,19600116,   16,    0
  1847,  7041,19600117,   11,    0
  1847,  7041,19600118,   28,    0
  1847,  7041,19600119,   47,    1
  1847,  7041,19600120,   11,    0
  1847,  7041,19600121,   50,    0
  1847,  7041,19600122,   61,    0
  1847,  7041,19600123,  111,    1
  1847,  7041,19600124,   70,    1
  1847,  7041,19600125,   50,    1
  1847,  7041,19600126,    0,    0
  1847,  7041,19600127,   16,    0
  1847,  7041,19600128,   20,    0
  1847,  7041,19600129,   22,    0
  1847,  7041,19600130,   28,    0
  1847,  7041,19600131,   36,    0
  1847,  7041,19600201,   50,    0
  1847,  7041,19600202,   64,    0
  1847,  7041,19600203,   89,    1
  1847,  7041,19600204,   70,    0
  1847,  7041,19600205,   56,    0
  1847,  7041,19600206,   28,    0
  1847,  7041,19600207,   30,    0
  1847,  7041,19600208,    8,    0
  1847,  7041,19600209,   22,    0
  1847,  7041,19600210,   28,    1
  1847,  7041,19600211,    2,    0
  1847,  7041,19600212,    3,    0
  1847,  7041,19600213,    0,    0
  1847,  7041,19600214,  -16,    0
  1847,  7041,19600215,  -11,    0
  1847,  7041,19600216,   14,    1
  1847,  7041,19600217,  -16,    0
  1847,  7041,19600218,   -8,    0
  1847,  7041,19600219,   16,    0
  1847,  7041,19600220,   28,    0
  1847,  7041,19600221,   30,    0
  1847,  7041,19600222,    6,    0
  1847,  7041,19600223,   14,    0
  1847,  7041,19600224,   -3,    0
  1847,  7041,19600225,   11,    0
  1847,  7041,19600226,   61,    0
  1847,  7041,19600227,   72,    0
  1847,  7041,19600228,  108,    0
  1847,  7041,19600229,  114,    1
  1847,  7041,19600301,   97,    0
  1847,  7041,19600302,   92,    0
  1847,  7041,19600303,   86,    1
  1847,  7041,19600304,   56,    0
  1847,  7041,19600305,   61,    1
  1847,  7041,19600306,   30,    0
  1847,  7041,19600307,   22,    1
  1847,  7041,19600308,    8,    0
  1847,  7041,19600309,   16,    0
  1847,  7041,19600310,   28,    0
  1847,  7041,19600311,   64,    1
  1847,  7041,19600312,   47,    0
  1847,  7041,19600313,   58,    0
  1847,  7041,19600314,   75,    1
  1847,  7041,19600315,   64,    1
  1847,  7041,19600316,   50,    1
  1847,  7041,19600317,   30,    0
  1847,  7041,19600318,   28,    0
  1847,  7041,19600319,   36,    0
  1847,  7041,19600320,   53,    0
  1847,  7041,19600321,   42,    0
  1847,  7041,19600322,   28,    0
  1847,  7041,19600323,   52,    0
  1847,  7041,19600324,   70,    1
  1847,  7041,19600325,   42,    0
  1847,  7041,19600326,   47,    0
