EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STUTTGART, GERMANY (STAID: 56)
Blended and updated with sources:207 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    56,   207,19000101,   74,    0
    56,   207,19000102,   62,    0
    56,   207,19000103,   67,    0
    56,   207,19000104,   42,    0
    56,   207,19000105,   20,    0
    56,   207,19000106,   17,    0
    56,   207,19000107,    4,    0
    56,   207,19000108,    8,    0
    56,   207,19000109,   23,    0
    56,   207,19000110,    6,    0
    56,   207,19000111,   -8,    0
    56,   207,19000112,  -18,    0
    56,   207,19000113,  -41,    0
    56,   207,19000114,  -80,    0
    56,   207,19000115,  -77,    0
    56,   207,19000116,   21,    0
    56,   207,19000117,   58,    0
    56,   207,19000118,   18,    0
    56,   207,19000119,    3,    0
    56,   207,19000120,   15,    0
    56,   207,19000121,   34,    0
    56,   207,19000122,   60,    0
    56,   207,19000123,   60,    0
    56,   207,19000124,   54,    0
    56,   207,19000125,   35,    0
    56,   207,19000126,   34,    0
    56,   207,19000127,   20,    0
    56,   207,19000128,   -2,    0
    56,   207,19000129,    1,    0
    56,   207,19000130,   -9,    0
    56,   207,19000131,   -6,    0
    56,   207,19000201,   -9,    0
    56,   207,19000202,    2,    0
    56,   207,19000203,    4,    0
    56,   207,19000204,    2,    0
    56,   207,19000205,    3,    0
    56,   207,19000206,    4,    0
    56,   207,19000207,  -10,    0
    56,   207,19000208,  -26,    0
    56,   207,19000209,  -44,    0
    56,   207,19000210,  -40,    0
    56,   207,19000211,  -31,    0
    56,   207,19000212,  -19,    0
    56,   207,19000213,   20,    0
    56,   207,19000214,   24,    0
    56,   207,19000215,  -12,    0
    56,   207,19000216,   46,    0
    56,   207,19000217,   38,    0
    56,   207,19000218,   43,    0
    56,   207,19000219,   83,    0
    56,   207,19000220,   44,    0
    56,   207,19000221,   14,    0
    56,   207,19000222,   16,    0
    56,   207,19000223,   72,    0
    56,   207,19000224,   99,    0
    56,   207,19000225,  105,    0
    56,   207,19000226,  108,    0
    56,   207,19000227,   86,    0
