EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SZCZECIN, POLAND (STAID: 208)
Blended and updated with sources:653 912205 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   208,   653,19201201,   -9,    0
   208,   653,19201202,    2,    0
   208,   653,19201203,    4,    0
   208,   653,19201204,   13,    0
   208,   653,19201205,    7,    0
   208,   653,19201206,   -3,    0
   208,   653,19201207,  -34,    0
   208,   653,19201208,  -11,    0
   208,   653,19201209,  -46,    0
   208,   653,19201210,  -80,    0
   208,   653,19201211,  -67,    0
   208,   653,19201212,  -45,    0
   208,   653,19201213,  -71,    0
   208,   653,19201214,  -64,    0
   208,   653,19201215,  -82,    0
   208,   653,19201216,  -53,    0
   208,   653,19201217,  -23,    0
   208,   653,19201218,  -10,    0
   208,   653,19201219,   -9,    0
   208,   653,19201220,  -39,    0
   208,   653,19201221,  -14,    0
   208,   653,19201222,   -3,    0
   208,   653,19201223,   13,    0
   208,   653,19201224,  -20,    0
   208,   653,19201225,   38,    0
   208,   653,19201226,   56,    0
   208,   653,19201227,   22,    0
   208,   653,19201228,   19,    0
   208,   653,19201229,   43,    0
   208,   653,19201230,   73,    0
   208,   653,19201231,   61,    0
   208,   653,19210101,   61,    0
   208,   653,19210102,   63,    0
   208,   653,19210103,   80,    0
   208,   653,19210104,   54,    0
   208,   653,19210105,   66,    0
   208,   653,19210106,   71,    0
   208,   653,19210107,   56,    0
   208,   653,19210108,   48,    0
   208,   653,19210109,   52,    0
   208,   653,19210110,   84,    0
   208,   653,19210111,   66,    0
   208,   653,19210112,   38,    0
   208,   653,19210113,   44,    0
   208,   653,19210114,   28,    0
   208,   653,19210115,    2,    0
   208,   653,19210116,  -12,    0
   208,   653,19210117,  -29,    0
   208,   653,19210118,    1,    0
   208,   653,19210119,   28,    0
   208,   653,19210120,   28,    0
   208,   653,19210121,   63,    0
   208,   653,19210122,   61,    0
   208,   653,19210123,   28,    0
   208,   653,19210124,    1,    0
   208,   653,19210125,  -36,    0
   208,   653,19210126,   11,    0
   208,   653,19210127,   21,    0
   208,   653,19210128,  -18,    0
   208,   653,19210129,   40,    0
   208,   653,19210130,   75,    0
   208,   653,19210131,   54,    0
   208,   653,19210201,   31,    0
   208,   653,19210202,   30,    0
   208,   653,19210203,   27,    0
   208,   653,19210204,   31,    0
   208,   653,19210205,    4,    0
   208,   653,19210206,  -18,    0
   208,   653,19210207,   -7,    0
   208,   653,19210208,  -15,    0
   208,   653,19210209,  -19,    0
   208,   653,19210210,  -16,    0
   208,   653,19210211,  -34,    0
   208,   653,19210212,   12,    0
   208,   653,19210213,   11,    0
   208,   653,19210214,   34,    0
   208,   653,19210215,   16,    0
   208,   653,19210216,   30,    0
   208,   653,19210217,   18,    0
   208,   653,19210218,   22,    0
   208,   653,19210219,   14,    0
   208,   653,19210220,   19,    0
   208,   653,19210221,   13,    0
   208,   653,19210222,    9,    0
   208,   653,19210223,    9,    0
   208,   653,19210224,   25,    0
   208,   653,19210225,   28,    0
   208,   653,19210226,   20,    0
   208,   653,19210227,   13,    0
   208,   653,19210228,   52,    0
   208,   653,19210301,   66,    0
   208,   653,19210302,   61,    0
   208,   653,19210303,   37,    0
   208,   653,19210304,   23,    0
   208,   653,19210305,   36,    0
   208,   653,19210306,   81,    0
   208,   653,19210307,   36,    0
   208,   653,19210308,   23,    0
   208,   653,19210309,    6,    0
   208,   653,19210310,   50,    0
   208,   653,19210311,   52,    0
   208,   653,19210312,   68,    0
   208,   653,19210313,   77,    0
   208,   653,19210314,   87,    0
   208,   653,19210315,   93,    0
   208,   653,19210316,   85,    0
   208,   653,19210317,   85,    0
   208,   653,19210318,   90,    0
   208,   653,19210319,   76,    0
   208,   653,19210320,   63,    0
   208,   653,19210321,   66,    0
   208,   653,19210322,   67,    0
   208,   653,19210323,  108,    0
   208,   653,19210324,  106,    0
   208,   653,19210325,  107,    0
   208,   653,19210326,  117,    0
   208,   653,19210327,   86,    0
   208,   653,19210328,   46,    0
   208,   653,19210329,  101,    0
   208,   653,19210330,   97,    0
   208,   653,19210331,   63,    0
   208,   653,19210401,  101,    0
   208,   653,19210402,   91,    0
