EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CLUJ NAPOCA, ROMANIA (STAID: 222)
Blended and updated with sources:7507 915120 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   222,  7507,19610101,   16,    0
   222,  7507,19610102,   20,    0
   222,  7507,19610103,   44,    0
   222,  7507,19610104,   36,    0
   222,  7507,19610105,   69,    0
   222,  7507,19610106,   23,    0
   222,  7507,19610107,   20,    0
   222,  7507,19610108,    3,    0
   222,  7507,19610109,   -2,    0
   222,  7507,19610110,   12,    0
   222,  7507,19610111,   16,    0
   222,  7507,19610112,   -2,    0
   222,  7507,19610113,  -33,    0
   222,  7507,19610114,  -66,    0
   222,  7507,19610115,  -65,    0
   222,  7507,19610116,  -70,    0
   222,  7507,19610117,  -64,    0
   222,  7507,19610118, -110,    0
   222,  7507,19610119, -117,    0
   222,  7507,19610120, -124,    0
   222,  7507,19610121, -116,    0
   222,  7507,19610122, -112,    0
   222,  7507,19610123,  -82,    0
   222,  7507,19610124,  -36,    0
   222,  7507,19610125,   -5,    0
   222,  7507,19610126,  -62,    0
   222,  7507,19610127, -162,    0
   222,  7507,19610128, -176,    0
   222,  7507,19610129, -165,    0
   222,  7507,19610130, -157,    0
   222,  7507,19610131,  -82,    0
   222,  7507,19610201,   -8,    0
   222,  7507,19610202,    8,    0
   222,  7507,19610203,  -15,    0
   222,  7507,19610204,  -14,    0
   222,  7507,19610205,  -16,    0
   222,  7507,19610206,  -24,    0
   222,  7507,19610207,  -47,    0
   222,  7507,19610208,  -20,    0
   222,  7507,19610209,  -14,    0
   222,  7507,19610210,  -23,    0
   222,  7507,19610211,    4,    0
   222,  7507,19610212,    0,    0
   222,  7507,19610213,   13,    0
   222,  7507,19610214,   18,    0
   222,  7507,19610215,  -26,    0
   222,  7507,19610216,   -5,    0
   222,  7507,19610217,   16,    0
   222,  7507,19610218,   30,    0
   222,  7507,19610219,   21,    0
   222,  7507,19610220,   18,    0
   222,  7507,19610221,   14,    0
   222,  7507,19610222,   12,    0
   222,  7507,19610223,    3,    0
   222,  7507,19610224,    8,    0
   222,  7507,19610225,    6,    0
   222,  7507,19610226,    7,    0
   222,  7507,19610227,    0,    0
   222,  7507,19610228,   -4,    0
   222,  7507,19610301,    4,    0
   222,  7507,19610302,   32,    0
   222,  7507,19610303,   10,    0
   222,  7507,19610304,    4,    0
   222,  7507,19610305,   33,    0
   222,  7507,19610306,   50,    0
   222,  7507,19610307,   47,    0
   222,  7507,19610308,   66,    0
   222,  7507,19610309,   46,    0
   222,  7507,19610310,  100,    0
   222,  7507,19610311,   70,    0
   222,  7507,19610312,   89,    0
   222,  7507,19610313,   46,    0
   222,  7507,19610314,   50,    0
   222,  7507,19610315,   70,    0
   222,  7507,19610316,   90,    0
   222,  7507,19610317,   76,    0
   222,  7507,19610318,   62,    0
   222,  7507,19610319,   71,    0
   222,  7507,19610320,   34,    0
   222,  7507,19610321,   20,    0
   222,  7507,19610322,   35,    0
   222,  7507,19610323,   24,    0
