EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CET CENTRAL ENGLAND, UNITED KINGDOM (STAID: 257)
Blended and updated with sources:897 903535 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   257,   897,18810101,   39,    0
   257,   897,18810102,   50,    0
   257,   897,18810103,   52,    0
   257,   897,18810104,   47,    0
   257,   897,18810105,   44,    0
   257,   897,18810106,   30,    0
   257,   897,18810107,   10,    1
   257,   897,18810108,  -14,    0
   257,   897,18810109,   -8,    0
   257,   897,18810110,  -12,    0
   257,   897,18810111,   -4,    0
   257,   897,18810112,  -30,    0
   257,   897,18810113,  -29,    1
   257,   897,18810114,  -70,    0
   257,   897,18810115,  -72,    0
   257,   897,18810116,  -76,    0
   257,   897,18810117,  -62,    0
   257,   897,18810118,  -52,    0
   257,   897,18810119,  -38,    0
   257,   897,18810120,  -68,    0
   257,   897,18810121,  -80,    0
   257,   897,18810122,  -64,    0
   257,   897,18810123,  -30,    0
   257,   897,18810124,  -60,    0
   257,   897,18810125,  -70,    0
   257,   897,18810126,  -52,    0
   257,   897,18810127,  -16,    0
   257,   897,18810128,   28,    0
   257,   897,18810129,   43,    0
   257,   897,18810130,   53,    0
   257,   897,18810131,   51,    0
   257,   897,18810201,   28,    0
   257,   897,18810202,   41,    0
   257,   897,18810203,   73,    0
   257,   897,18810204,   87,    1
   257,   897,18810205,   52,    1
   257,   897,18810206,   16,    0
   257,   897,18810207,   26,    0
   257,   897,18810208,   43,    0
   257,   897,18810209,   62,    0
   257,   897,18810210,   61,    1
   257,   897,18810211,   30,    0
   257,   897,18810212,   14,    0
   257,   897,18810213,   18,    0
   257,   897,18810214,   25,    0
   257,   897,18810215,   43,    0
   257,   897,18810216,   54,    0
   257,   897,18810217,   41,    0
   257,   897,18810218,   37,    0
   257,   897,18810219,   25,    0
   257,   897,18810220,   20,    0
   257,   897,18810221,   10,    0
   257,   897,18810222,    6,    0
   257,   897,18810223,   15,    0
   257,   897,18810224,   11,    0
   257,   897,18810225,   20,    0
   257,   897,18810226,   26,    0
   257,   897,18810227,   14,    0
   257,   897,18810228,   -1,    0
   257,   897,18810301,   -5,    0
   257,   897,18810302,   -5,    0
   257,   897,18810303,   18,    0
   257,   897,18810304,   35,    0
   257,   897,18810305,   54,    0
   257,   897,18810306,   89,    0
   257,   897,18810307,   97,    1
   257,   897,18810308,   75,    0
   257,   897,18810309,   81,    0
   257,   897,18810310,  115,    0
   257,   897,18810311,  108,    0
   257,   897,18810312,   86,    0
   257,   897,18810313,   66,    0
   257,   897,18810314,   73,    0
   257,   897,18810315,   72,    0
   257,   897,18810316,   64,    0
   257,   897,18810317,   72,    0
   257,   897,18810318,   79,    0
   257,   897,18810319,   93,    0
   257,   897,18810320,   78,    1
   257,   897,18810321,   38,    0
   257,   897,18810322,   20,    0
   257,   897,18810323,   34,    0
   257,   897,18810324,   52,    0
   257,   897,18810325,   34,    0
   257,   897,18810326,   18,    0
   257,   897,18810327,   10,    0
   257,   897,18810328,   26,    0
   257,   897,18810329,   31,    0
   257,   897,18810330,   14,    0
   257,   897,18810331,   24,    0
   257,   897,18810401,   45,    0
   257,   897,18810402,   49,    0
   257,   897,18810403,   30,    0
   257,   897,18810404,   26,    0
   257,   897,18810405,   42,    0
   257,   897,18810406,   44,    0
   257,   897,18810407,   44,    0
   257,   897,18810408,   56,    0
   257,   897,18810409,   65,    0
   257,   897,18810410,   68,    0
   257,   897,18810411,   84,    0
   257,   897,18810412,  111,    0
   257,   897,18810413,  128,    0
   257,   897,18810414,  108,    0
   257,   897,18810415,   99,    0
   257,   897,18810416,   97,    0
   257,   897,18810417,  101,    0
   257,   897,18810418,   84,    1
   257,   897,18810419,   40,    0
   257,   897,18810420,   36,    0
   257,   897,18810421,   28,    0
   257,   897,18810422,   58,    0
   257,   897,18810423,   59,    0
   257,   897,18810424,   92,    0
   257,   897,18810425,  102,    0
   257,   897,18810426,   86,    0
   257,   897,18810427,   88,    0
   257,   897,18810428,   93,    0
   257,   897,18810429,  114,    0
   257,   897,18810430,  115,    0
   257,   897,18810501,  100,    0
   257,   897,18810502,   98,    0
   257,   897,18810503,   71,    0
   257,   897,18810504,   80,    0
   257,   897,18810505,   87,    0
   257,   897,18810506,  132,    0
   257,   897,18810507,  120,    0
   257,   897,18810508,  107,    0
   257,   897,18810509,   92,    0
   257,   897,18810510,   79,    0
   257,   897,18810511,   78,    0
   257,   897,18810512,  117,    0
   257,   897,18810513,  126,    0
   257,   897,18810514,  107,    0
   257,   897,18810515,  120,    0
   257,   897,18810516,  101,    0
   257,   897,18810517,   73,    0
   257,   897,18810518,  118,    0
   257,   897,18810519,  113,    0
   257,   897,18810520,  108,    0
   257,   897,18810521,  116,    0
   257,   897,18810522,  134,    0
   257,   897,18810523,  142,    0
   257,   897,18810524,  136,    0
   257,   897,18810525,  149,    0
   257,   897,18810526,  158,    0
   257,   897,18810527,  162,    0
   257,   897,18810528,  166,    0
   257,   897,18810529,  157,    0
   257,   897,18810530,  150,    0
   257,   897,18810531,  163,    0
   257,   897,18810601,  170,    0
   257,   897,18810602,  166,    0
   257,   897,18810603,  169,    0
   257,   897,18810604,  165,    0
   257,   897,18810605,  142,    0
   257,   897,18810606,  109,    0
   257,   897,18810607,   91,    0
   257,   897,18810608,   86,    0
   257,   897,18810609,   79,    0
   257,   897,18810610,   85,    0
   257,   897,18810611,  117,    0
   257,   897,18810612,  132,    0
   257,   897,18810613,  135,    0
   257,   897,18810614,  124,    0
   257,   897,18810615,  138,    0
   257,   897,18810616,  148,    0
   257,   897,18810617,  158,    0
   257,   897,18810618,  159,    0
   257,   897,18810619,  151,    0
   257,   897,18810620,  147,    0
   257,   897,18810621,  168,    0
   257,   897,18810622,  151,    0
   257,   897,18810623,  135,    0
   257,   897,18810624,  146,    0
   257,   897,18810625,  140,    0
   257,   897,18810626,  148,    0
   257,   897,18810627,  133,    0
   257,   897,18810628,  132,    0
   257,   897,18810629,  145,    0
   257,   897,18810630,  142,    0
   257,   897,18810701,  163,    0
   257,   897,18810702,  158,    0
   257,   897,18810703,  172,    0
   257,   897,18810704,  205,    0
   257,   897,18810705,  219,    1
   257,   897,18810706,  169,    1
   257,   897,18810707,  123,    0
   257,   897,18810708,  131,    0
   257,   897,18810709,  142,    0
   257,   897,18810710,  158,    0
   257,   897,18810711,  176,    0
   257,   897,18810712,  175,    0
   257,   897,18810713,  168,    0
   257,   897,18810714,  196,    0
   257,   897,18810715,  203,    0
   257,   897,18810716,  179,    0
   257,   897,18810717,  172,    0
   257,   897,18810718,  196,    0
   257,   897,18810719,  193,    0
   257,   897,18810720,  153,    0
   257,   897,18810721,  137,    0
   257,   897,18810722,  144,    0
   257,   897,18810723,  152,    0
   257,   897,18810724,  146,    0
   257,   897,18810725,  132,    0
   257,   897,18810726,  129,    0
   257,   897,18810727,  131,    0
   257,   897,18810728,  127,    0
   257,   897,18810729,  161,    0
   257,   897,18810730,  152,    0
   257,   897,18810731,  158,    0
   257,   897,18810801,  140,    0
   257,   897,18810802,  145,    0
   257,   897,18810803,  162,    0
   257,   897,18810804,  188,    0
   257,   897,18810805,  191,    0
   257,   897,18810806,  159,    0
   257,   897,18810807,  148,    0
   257,   897,18810808,  163,    0
   257,   897,18810809,  144,    0
   257,   897,18810810,  144,    0
   257,   897,18810811,  130,    0
   257,   897,18810812,  118,    0
   257,   897,18810813,  105,    0
   257,   897,18810814,  136,    0
   257,   897,18810815,  132,    0
   257,   897,18810816,  149,    0
   257,   897,18810817,  138,    0
   257,   897,18810818,  132,    0
   257,   897,18810819,  147,    0
   257,   897,18810820,  126,    0
   257,   897,18810821,  126,    0
   257,   897,18810822,  135,    0
   257,   897,18810823,  141,    0
   257,   897,18810824,  134,    0
   257,   897,18810825,  124,    0
   257,   897,18810826,  146,    0
   257,   897,18810827,  113,    0
   257,   897,18810828,  112,    0
   257,   897,18810829,  135,    0
   257,   897,18810830,  137,    1
   257,   897,18810831,  107,    0
   257,   897,18810901,  107,    0
   257,   897,18810902,  111,    0
   257,   897,18810903,  127,    0
   257,   897,18810904,  131,    0
   257,   897,18810905,  131,    0
   257,   897,18810906,  125,    0
   257,   897,18810907,  133,    0
   257,   897,18810908,  122,    0
   257,   897,18810909,  129,    0
   257,   897,18810910,  118,    0
   257,   897,18810911,  116,    0
   257,   897,18810912,  124,    0
   257,   897,18810913,  136,    0
   257,   897,18810914,  120,    0
   257,   897,18810915,  118,    0
   257,   897,18810916,  114,    0
   257,   897,18810917,  114,    0
   257,   897,18810918,  165,    0
   257,   897,18810919,  144,    0
   257,   897,18810920,  143,    0
   257,   897,18810921,  147,    0
   257,   897,18810922,  118,    0
   257,   897,18810923,  128,    0
   257,   897,18810924,  131,    0
   257,   897,18810925,  151,    0
   257,   897,18810926,  132,    0
   257,   897,18810927,  124,    0
   257,   897,18810928,  114,    0
   257,   897,18810929,  110,    0
   257,   897,18810930,  128,    0
   257,   897,18811001,   96,    0
   257,   897,18811002,  102,    0
   257,   897,18811003,  102,    0
   257,   897,18811004,   92,    0
   257,   897,18811005,   64,    0
   257,   897,18811006,   69,    0
   257,   897,18811007,   95,    0
   257,   897,18811008,   88,    0
   257,   897,18811009,   80,    0
   257,   897,18811010,   89,    0
   257,   897,18811011,  115,    0
   257,   897,18811012,  110,    0
   257,   897,18811013,   97,    0
   257,   897,18811014,  100,    1
   257,   897,18811015,   57,    0
   257,   897,18811016,   44,    0
   257,   897,18811017,   45,    0
   257,   897,18811018,   62,    0
   257,   897,18811019,   63,    0
   257,   897,18811020,   70,    0
   257,   897,18811021,   70,    0
   257,   897,18811022,   84,    0
   257,   897,18811023,   93,    1
   257,   897,18811024,   78,    0
   257,   897,18811025,   64,    0
   257,   897,18811026,   60,    0
   257,   897,18811027,   49,    0
   257,   897,18811028,   57,    0
   257,   897,18811029,   34,    0
   257,   897,18811030,   24,    0
   257,   897,18811031,   14,    0
   257,   897,18811101,   19,    0
   257,   897,18811102,   40,    0
   257,   897,18811103,   69,    0
   257,   897,18811104,  102,    0
   257,   897,18811105,  129,    0
   257,   897,18811106,  108,    0
   257,   897,18811107,   88,    0
   257,   897,18811108,  111,    0
   257,   897,18811109,  107,    0
   257,   897,18811110,  107,    0
   257,   897,18811111,  120,    0
   257,   897,18811112,  129,    0
   257,   897,18811113,  126,    0
   257,   897,18811114,  108,    0
   257,   897,18811115,   98,    0
   257,   897,18811116,   96,    0
   257,   897,18811117,   91,    0
   257,   897,18811118,   55,    0
   257,   897,18811119,   77,    0
   257,   897,18811120,   93,    0
   257,   897,18811121,  101,    0
   257,   897,18811122,   93,    0
   257,   897,18811123,   78,    0
   257,   897,18811124,   76,    0
   257,   897,18811125,   86,    0
   257,   897,18811126,   78,    0
   257,   897,18811127,   74,    0
   257,   897,18811128,   86,    0
   257,   897,18811129,   63,    0
   257,   897,18811130,   58,    0
   257,   897,18811201,   65,    0
   257,   897,18811202,   69,    0
   257,   897,18811203,   83,    1
   257,   897,18811204,   61,    0
   257,   897,18811205,   72,    0
   257,   897,18811206,   64,    0
   257,   897,18811207,   58,    0
   257,   897,18811208,   45,    1
   257,   897,18811209,    8,    0
   257,   897,18811210,  -10,    0
   257,   897,18811211,    4,    0
   257,   897,18811212,   18,    0
   257,   897,18811213,   18,    0
   257,   897,18811214,   12,    0
   257,   897,18811215,   13,    0
   257,   897,18811216,   32,    0
   257,   897,18811217,   53,    0
   257,   897,18811218,   38,    0
   257,   897,18811219,   41,    0
   257,   897,18811220,   40,    0
   257,   897,18811221,   42,    1
   257,   897,18811222,   14,    0
   257,   897,18811223,    0,    0
   257,   897,18811224,   -5,    0
   257,   897,18811225,   42,    0
   257,   897,18811226,   62,    0
   257,   897,18811227,   57,    1
