EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GOTEBORG A, SWEDEN (STAID: 462)
Blended and updated with sources:1861 35591 35624 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   462, 35624,19501201,-9999,    9
   462, 35624,19501202,-9999,    9
   462, 35624,19501203,-9999,    9
   462, 35624,19501204,-9999,    9
   462, 35624,19501205,-9999,    9
   462, 35624,19501206,-9999,    9
   462, 35624,19501207,-9999,    9
   462, 35624,19501208,-9999,    9
   462, 35624,19501209,-9999,    9
   462, 35624,19501210,-9999,    9
   462, 35624,19501211,-9999,    9
   462, 35624,19501212,-9999,    9
   462, 35624,19501213,-9999,    9
   462, 35624,19501214,-9999,    9
   462, 35624,19501215,-9999,    9
   462, 35624,19501216,-9999,    9
   462, 35624,19501217,-9999,    9
   462, 35624,19501218,-9999,    9
   462, 35624,19501219,-9999,    9
   462, 35624,19501220,-9999,    9
   462, 35624,19501221,-9999,    9
   462, 35624,19501222,-9999,    9
   462, 35624,19501223,-9999,    9
   462, 35624,19501224,-9999,    9
   462, 35624,19501225,-9999,    9
   462, 35624,19501226,-9999,    9
   462, 35624,19501227,-9999,    9
   462, 35624,19501228,-9999,    9
   462, 35624,19501229,-9999,    9
   462, 35624,19501230,-9999,    9
   462, 35624,19501231,  -38,    0
   462, 35624,19510101,  -36,    0
   462, 35624,19510102,  -19,    0
   462, 35624,19510103,   -4,    0
   462, 35624,19510104,  -31,    0
   462, 35624,19510105,   -5,    0
   462, 35624,19510106,  -20,    0
   462, 35624,19510107,  -21,    0
   462, 35624,19510108,  -58,    0
   462, 35624,19510109,  -38,    0
   462, 35624,19510110,  -37,    0
   462, 35624,19510111,    2,    0
   462, 35624,19510112,   15,    0
   462, 35624,19510113,   12,    0
   462, 35624,19510114,   12,    0
   462, 35624,19510115,   -1,    0
   462, 35624,19510116,  -41,    0
   462, 35624,19510117,  -11,    0
   462, 35624,19510118,   16,    0
   462, 35624,19510119,   19,    0
   462, 35624,19510120,  -18,    0
   462, 35624,19510121,  -50,    0
   462, 35624,19510122,  -45,    0
   462, 35624,19510123,  -26,    0
   462, 35624,19510124,  -20,    0
   462, 35624,19510125,  -43,    0
   462, 35624,19510126,  -77,    0
   462, 35624,19510127,  -20,    0
   462, 35624,19510128,  -22,    0
   462, 35624,19510129,  -24,    0
   462, 35624,19510130,  -11,    0
   462, 35624,19510131,  -20,    0
   462, 35624,19510201,  -13,    0
   462, 35624,19510202,  -18,    0
   462, 35624,19510203,  -35,    0
   462, 35624,19510204,  -30,    0
   462, 35624,19510205,   -3,    0
   462, 35624,19510206,    4,    0
   462, 35624,19510207,   15,    0
   462, 35624,19510208,   19,    0
   462, 35624,19510209,   37,    0
   462, 35624,19510210,   23,    0
   462, 35624,19510211,    4,    0
   462, 35624,19510212,   -8,    0
   462, 35624,19510213,   -2,    0
   462, 35624,19510214,  -12,    0
   462, 35624,19510215,  -60,    0
   462, 35624,19510216,  -54,    0
   462, 35624,19510217,  -39,    0
   462, 35624,19510218,    5,    0
   462, 35624,19510219,   13,    0
   462, 35624,19510220,   15,    0
   462, 35624,19510221,    9,    0
   462, 35624,19510222,    9,    0
   462, 35624,19510223,    9,    0
   462, 35624,19510224,    4,    0
   462, 35624,19510225,    1,    0
   462, 35624,19510226,    3,    0
   462, 35624,19510227,  -22,    0
   462, 35624,19510228,  -35,    0
   462, 35624,19510301,  -45,    0
   462, 35624,19510302,    3,    0
   462, 35624,19510303,  -27,    0
   462, 35624,19510304,  -14,    0
   462, 35624,19510305,  -10,    0
   462, 35624,19510306,  -37,    0
   462, 35624,19510307,  -47,    0
   462, 35624,19510308,  -28,    0
   462, 35624,19510309,  -23,    0
   462, 35624,19510310,  -38,    0
   462, 35624,19510311,  -37,    0
   462, 35624,19510312,  -30,    0
   462, 35624,19510313,  -16,    0
   462, 35624,19510314,   19,    0
   462, 35624,19510315,  -12,    0
   462, 35624,19510316,  -47,    0
   462, 35624,19510317,  -30,    0
   462, 35624,19510318,  -24,    0
   462, 35624,19510319,  -44,    0
   462, 35624,19510320,  -56,    0
   462, 35624,19510321,  -44,    0
   462, 35624,19510322,    2,    0
   462, 35624,19510323,   13,    0
   462, 35624,19510324,  -15,    0
   462, 35624,19510325,  -12,    0
   462, 35624,19510326,   -6,    0
   462, 35624,19510327,   -7,    0
   462, 35624,19510328,  -13,    0
   462, 35624,19510329,   -8,    0
   462, 35624,19510330,    5,    0
   462, 35624,19510331,   13,    0
   462, 35624,19510401,   12,    0
   462, 35624,19510402,   30,    0
   462, 35624,19510403,   22,    0
   462, 35624,19510404,   24,    0
   462, 35624,19510405,   34,    0
   462, 35624,19510406,   41,    0
   462, 35624,19510407,   53,    0
   462, 35624,19510408,   52,    0
   462, 35624,19510409,   49,    0
   462, 35624,19510410,   42,    0
   462, 35624,19510411,   39,    0
   462, 35624,19510412,   39,    0
   462, 35624,19510413,   45,    0
   462, 35624,19510414,   24,    0
   462, 35624,19510415,   36,    0
   462, 35624,19510416,   33,    0
   462, 35624,19510417,   31,    0
   462, 35624,19510418,   40,    0
   462, 35624,19510419,   39,    0
   462, 35624,19510420,   24,    0
   462, 35624,19510421,   29,    0
   462, 35624,19510422,   34,    0
   462, 35624,19510423,   47,    0
   462, 35624,19510424,   74,    0
   462, 35624,19510425,   84,    0
   462, 35624,19510426,  110,    0
   462, 35624,19510427,   86,    0
   462, 35624,19510428,   50,    0
   462, 35624,19510429,   73,    0
   462, 35624,19510430,  117,    0
   462, 35624,19510501,   81,    0
   462, 35624,19510502,   68,    0
   462, 35624,19510503,   60,    0
   462, 35624,19510504,   82,    0
   462, 35624,19510505,   96,    0
   462, 35624,19510506,   67,    0
   462, 35624,19510507,   75,    0
   462, 35624,19510508,   74,    0
   462, 35624,19510509,   80,    0
   462, 35624,19510510,   90,    0
   462, 35624,19510511,   86,    0
   462, 35624,19510512,   95,    0
   462, 35624,19510513,   86,    0
   462, 35624,19510514,   86,    0
   462, 35624,19510515,   76,    0
   462, 35624,19510516,   81,    0
   462, 35624,19510517,  100,    0
   462, 35624,19510518,  109,    0
   462, 35624,19510519,  145,    0
   462, 35624,19510520,  147,    0
   462, 35624,19510521,  151,    0
   462, 35624,19510522,  123,    0
   462, 35624,19510523,  127,    0
   462, 35624,19510524,  121,    0
   462, 35624,19510525,   96,    0
   462, 35624,19510526,  104,    0
   462, 35624,19510527,  115,    0
   462, 35624,19510528,  109,    0
   462, 35624,19510529,   78,    0
   462, 35624,19510530,  120,    0
   462, 35624,19510531,  121,    0
   462, 35624,19510601,  119,    0
   462, 35624,19510602,  123,    0
