EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HANNOVER, GERMANY (STAID: 476)
Blended and updated with sources:2246 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   476,  2246,19360101,   79,    0
   476,  2246,19360102,   71,    0
   476,  2246,19360103,   57,    0
   476,  2246,19360104,   46,    0
   476,  2246,19360105,   32,    0
   476,  2246,19360106,   40,    0
   476,  2246,19360107,   55,    0
   476,  2246,19360108,   65,    0
   476,  2246,19360109,   79,    0
   476,  2246,19360110,  113,    0
   476,  2246,19360111,   56,    0
   476,  2246,19360112,   22,    0
   476,  2246,19360113,   17,    0
   476,  2246,19360114,   20,    0
   476,  2246,19360115,   13,    0
   476,  2246,19360116,   -2,    0
   476,  2246,19360117,   19,    0
   476,  2246,19360118,   12,    0
   476,  2246,19360119,   16,    0
   476,  2246,19360120,   59,    0
   476,  2246,19360121,   60,    0
   476,  2246,19360122,   26,    0
   476,  2246,19360123,   29,    0
   476,  2246,19360124,   12,    0
   476,  2246,19360125,   17,    0
   476,  2246,19360126,   52,    0
   476,  2246,19360127,   46,    0
   476,  2246,19360128,   69,    0
   476,  2246,19360129,   66,    0
   476,  2246,19360130,   68,    0
   476,  2246,19360131,   54,    0
   476,  2246,19360201,   73,    0
   476,  2246,19360202,   47,    0
   476,  2246,19360203,   32,    0
   476,  2246,19360204,   10,    0
   476,  2246,19360205,   -4,    0
   476,  2246,19360206,  -21,    0
   476,  2246,19360207,  -19,    0
   476,  2246,19360208,  -32,    0
   476,  2246,19360209,  -24,    0
   476,  2246,19360210,  -78,    0
   476,  2246,19360211,  -78,    0
   476,  2246,19360212,   -2,    0
   476,  2246,19360213,   17,    0
   476,  2246,19360214,    6,    0
   476,  2246,19360215,   -2,    0
   476,  2246,19360216,   42,    0
   476,  2246,19360217,   36,    0
   476,  2246,19360218,   32,    0
   476,  2246,19360219,   62,    0
   476,  2246,19360220,   52,    0
   476,  2246,19360221,    3,    0
   476,  2246,19360222,    4,    0
   476,  2246,19360223,   34,    0
   476,  2246,19360224,   10,    0
   476,  2246,19360225,   -3,    0
   476,  2246,19360226,   -5,    0
   476,  2246,19360227,   14,    0
   476,  2246,19360228,   17,    0
   476,  2246,19360229,   34,    0
   476,  2246,19360301,   29,    0
   476,  2246,19360302,   38,    0
   476,  2246,19360303,   11,    0
   476,  2246,19360304,   24,    0
   476,  2246,19360305,   27,    0
   476,  2246,19360306,   29,    0
   476,  2246,19360307,   12,    0
   476,  2246,19360308,   14,    0
   476,  2246,19360309,   40,    0
   476,  2246,19360310,   65,    0
   476,  2246,19360311,   35,    0
   476,  2246,19360312,    6,    0
   476,  2246,19360313,    4,    0
   476,  2246,19360314,    8,    0
   476,  2246,19360315,   18,    0
   476,  2246,19360316,   11,    0
   476,  2246,19360317,   44,    0
   476,  2246,19360318,   57,    0
   476,  2246,19360319,   56,    0
   476,  2246,19360320,   79,    0
   476,  2246,19360321,   77,    0
   476,  2246,19360322,   93,    0
   476,  2246,19360323,   91,    0
   476,  2246,19360324,   81,    0
   476,  2246,19360325,   64,    0
   476,  2246,19360326,   68,    0
   476,  2246,19360327,   62,    0
   476,  2246,19360328,   48,    0
   476,  2246,19360329,   98,    0
   476,  2246,19360330,  109,    0
   476,  2246,19360331,  122,    0
   476,  2246,19360401,  122,    0
   476,  2246,19360402,  100,    0
   476,  2246,19360403,   54,    0
   476,  2246,19360404,   40,    0
   476,  2246,19360405,   45,    0
   476,  2246,19360406,   35,    0
   476,  2246,19360407,   42,    0
   476,  2246,19360408,   58,    0
   476,  2246,19360409,   64,    0
   476,  2246,19360410,   49,    0
   476,  2246,19360411,   28,    0
   476,  2246,19360412,   26,    0
   476,  2246,19360413,   28,    0
   476,  2246,19360414,   56,    0
   476,  2246,19360415,   80,    0
   476,  2246,19360416,   98,    0
   476,  2246,19360417,   68,    0
   476,  2246,19360418,   30,    0
   476,  2246,19360419,   42,    0
   476,  2246,19360420,   56,    0
   476,  2246,19360421,   18,    0
   476,  2246,19360422,   23,    0
   476,  2246,19360423,   38,    0
   476,  2246,19360424,   48,    0
   476,  2246,19360425,   90,    0
   476,  2246,19360426,  133,    0
   476,  2246,19360427,   92,    0
   476,  2246,19360428,   97,    0
   476,  2246,19360429,   76,    0
   476,  2246,19360430,   78,    0
   476,  2246,19360501,   90,    0
   476,  2246,19360502,   91,    0
   476,  2246,19360503,  116,    0
   476,  2246,19360504,  105,    0
   476,  2246,19360505,  140,    0
   476,  2246,19360506,  164,    0
   476,  2246,19360507,  160,    0
   476,  2246,19360508,  160,    0
   476,  2246,19360509,  157,    0
   476,  2246,19360510,  145,    0
   476,  2246,19360511,  121,    0
   476,  2246,19360512,  128,    0
   476,  2246,19360513,  121,    0
   476,  2246,19360514,  131,    0
   476,  2246,19360515,  144,    0
   476,  2246,19360516,  101,    0
   476,  2246,19360517,  131,    0
   476,  2246,19360518,  142,    0
   476,  2246,19360519,  140,    0
   476,  2246,19360520,  142,    0
   476,  2246,19360521,   94,    0
   476,  2246,19360522,  102,    0
   476,  2246,19360523,   96,    0
   476,  2246,19360524,  121,    0
   476,  2246,19360525,  138,    0
   476,  2246,19360526,  159,    0
   476,  2246,19360527,  143,    0
   476,  2246,19360528,  102,    0
   476,  2246,19360529,  105,    0
   476,  2246,19360530,  134,    0
   476,  2246,19360531,  108,    0
   476,  2246,19360601,  101,    0
   476,  2246,19360602,  132,    0
   476,  2246,19360603,  147,    0
   476,  2246,19360604,  169,    0
   476,  2246,19360605,  163,    0
   476,  2246,19360606,  143,    0
   476,  2246,19360607,  113,    0
   476,  2246,19360608,  119,    0
   476,  2246,19360609,  131,    0
   476,  2246,19360610,  158,    0
   476,  2246,19360611,  125,    0
   476,  2246,19360612,  138,    0
   476,  2246,19360613,  175,    0
   476,  2246,19360614,  185,    0
   476,  2246,19360615,  168,    0
   476,  2246,19360616,  164,    0
   476,  2246,19360617,  209,    0
   476,  2246,19360618,  214,    0
   476,  2246,19360619,  216,    0
   476,  2246,19360620,  223,    0
   476,  2246,19360621,  225,    0
   476,  2246,19360622,  231,    0
   476,  2246,19360623,  218,    0
   476,  2246,19360624,  191,    0
   476,  2246,19360625,  190,    0
   476,  2246,19360626,  197,    0
   476,  2246,19360627,  172,    0
   476,  2246,19360628,  192,    0
   476,  2246,19360629,  226,    0
   476,  2246,19360630,  218,    0
   476,  2246,19360701,  218,    0
   476,  2246,19360702,  184,    0
   476,  2246,19360703,  179,    0
   476,  2246,19360704,  186,    0
   476,  2246,19360705,  182,    0
   476,  2246,19360706,  200,    0
   476,  2246,19360707,  220,    0
   476,  2246,19360708,  192,    0
   476,  2246,19360709,  166,    0
   476,  2246,19360710,  176,    0
   476,  2246,19360711,  158,    0
   476,  2246,19360712,  157,    0
   476,  2246,19360713,  153,    0
   476,  2246,19360714,  153,    0
   476,  2246,19360715,  165,    0
   476,  2246,19360716,  165,    0
   476,  2246,19360717,  196,    0
   476,  2246,19360718,  239,    0
   476,  2246,19360719,  178,    0
   476,  2246,19360720,  163,    0
   476,  2246,19360721,  170,    0
   476,  2246,19360722,  168,    0
   476,  2246,19360723,  188,    0
   476,  2246,19360724,  197,    0
   476,  2246,19360725,  169,    0
   476,  2246,19360726,  160,    0
   476,  2246,19360727,  164,    0
   476,  2246,19360728,  146,    0
   476,  2246,19360729,  153,    0
   476,  2246,19360730,  146,    0
   476,  2246,19360731,  164,    0
   476,  2246,19360801,  157,    0
   476,  2246,19360802,  173,    0
   476,  2246,19360803,  162,    0
   476,  2246,19360804,  140,    0
   476,  2246,19360805,  129,    0
   476,  2246,19360806,  152,    0
   476,  2246,19360807,  173,    0
   476,  2246,19360808,  159,    0
   476,  2246,19360809,  164,    0
   476,  2246,19360810,  182,    0
   476,  2246,19360811,  197,    0
   476,  2246,19360812,  193,    0
   476,  2246,19360813,  155,    0
   476,  2246,19360814,  165,    0
   476,  2246,19360815,  174,    0
   476,  2246,19360816,  201,    0
   476,  2246,19360817,  212,    0
   476,  2246,19360818,  192,    0
   476,  2246,19360819,  181,    0
   476,  2246,19360820,  146,    0
   476,  2246,19360821,  194,    0
   476,  2246,19360822,  160,    0
   476,  2246,19360823,  154,    0
   476,  2246,19360824,  177,    0
   476,  2246,19360825,  177,    0
   476,  2246,19360826,  152,    0
   476,  2246,19360827,  140,    0
   476,  2246,19360828,  159,    0
   476,  2246,19360829,  180,    0
   476,  2246,19360830,  193,    0
   476,  2246,19360831,  149,    0
   476,  2246,19360901,  146,    0
   476,  2246,19360902,  154,    0
   476,  2246,19360903,  174,    0
   476,  2246,19360904,  181,    0
   476,  2246,19360905,  171,    0
   476,  2246,19360906,  151,    0
   476,  2246,19360907,  136,    0
   476,  2246,19360908,  130,    0
   476,  2246,19360909,  138,    0
   476,  2246,19360910,  106,    0
   476,  2246,19360911,  101,    0
   476,  2246,19360912,  116,    0
   476,  2246,19360913,  130,    0
   476,  2246,19360914,  132,    0
   476,  2246,19360915,  140,    0
   476,  2246,19360916,  145,    0
   476,  2246,19360917,  166,    0
   476,  2246,19360918,  162,    0
   476,  2246,19360919,  162,    0
