EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHIPHOL, NETHERLANDS (STAID: 593)
Blended and updated with sources:2115 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   593,  2115,19510101,-9999,    9
   593,  2115,19510102,   13,    0
   593,  2115,19510103,    3,    0
   593,  2115,19510104,   12,    0
   593,  2115,19510105,   48,    0
   593,  2115,19510106,   64,    0
   593,  2115,19510107,   67,    0
   593,  2115,19510108,   61,    0
   593,  2115,19510109,   41,    0
   593,  2115,19510110,   26,    0
   593,  2115,19510111,   70,    0
   593,  2115,19510112,   39,    0
   593,  2115,19510113,   38,    0
   593,  2115,19510114,   46,    0
   593,  2115,19510115,   49,    0
   593,  2115,19510116,   44,    0
   593,  2115,19510117,   65,    0
   593,  2115,19510118,   64,    0
   593,  2115,19510119,   56,    0
   593,  2115,19510120,   56,    0
   593,  2115,19510121,   41,    0
   593,  2115,19510122,   61,    0
   593,  2115,19510123,   57,    0
   593,  2115,19510124,   27,    0
   593,  2115,19510125,   22,    0
   593,  2115,19510126,   25,    0
   593,  2115,19510127,   36,    0
   593,  2115,19510128,   30,    0
   593,  2115,19510129,   21,    0
   593,  2115,19510130,   20,    0
   593,  2115,19510131,   11,    0
   593,  2115,19510201,   20,    0
   593,  2115,19510202,   28,    0
   593,  2115,19510203,   24,    0
   593,  2115,19510204,   46,    0
   593,  2115,19510205,   47,    0
   593,  2115,19510206,   32,    0
   593,  2115,19510207,   26,    0
   593,  2115,19510208,   65,    0
   593,  2115,19510209,   76,    0
   593,  2115,19510210,   39,    0
   593,  2115,19510211,   34,    0
   593,  2115,19510212,   42,    0
   593,  2115,19510213,   36,    0
   593,  2115,19510214,   20,    0
   593,  2115,19510215,   35,    0
   593,  2115,19510216,   40,    0
   593,  2115,19510217,   55,    0
   593,  2115,19510218,   45,    0
   593,  2115,19510219,   46,    0
   593,  2115,19510220,   49,    0
   593,  2115,19510221,   45,    0
   593,  2115,19510222,   35,    0
   593,  2115,19510223,   48,    0
   593,  2115,19510224,   41,    0
   593,  2115,19510225,   39,    0
   593,  2115,19510226,   30,    0
   593,  2115,19510227,   20,    0
   593,  2115,19510228,   19,    0
   593,  2115,19510301,   25,    0
   593,  2115,19510302,   16,    0
   593,  2115,19510303,    5,    0
   593,  2115,19510304,    5,    0
   593,  2115,19510305,    9,    0
   593,  2115,19510306,   22,    0
   593,  2115,19510307,   40,    0
   593,  2115,19510308,   17,    0
   593,  2115,19510309,    6,    0
   593,  2115,19510310,   11,    0
   593,  2115,19510311,   53,    0
   593,  2115,19510312,   55,    0
   593,  2115,19510313,   92,    0
   593,  2115,19510314,   74,    0
   593,  2115,19510315,   64,    0
   593,  2115,19510316,   70,    0
   593,  2115,19510317,  110,    0
   593,  2115,19510318,   87,    0
   593,  2115,19510319,   43,    0
   593,  2115,19510320,   25,    0
   593,  2115,19510321,   31,    0
   593,  2115,19510322,   56,    0
   593,  2115,19510323,   73,    0
   593,  2115,19510324,   35,    0
   593,  2115,19510325,   31,    0
   593,  2115,19510326,   44,    0
   593,  2115,19510327,   41,    0
   593,  2115,19510328,   23,    0
   593,  2115,19510329,   12,    0
   593,  2115,19510330,   27,    0
   593,  2115,19510331,   38,    0
   593,  2115,19510401,   66,    0
   593,  2115,19510402,   60,    0
   593,  2115,19510403,   57,    0
   593,  2115,19510404,   61,    0
   593,  2115,19510405,   64,    0
   593,  2115,19510406,   78,    0
   593,  2115,19510407,   88,    0
   593,  2115,19510408,   57,    0
   593,  2115,19510409,   63,    0
   593,  2115,19510410,   56,    0
   593,  2115,19510411,   45,    0
   593,  2115,19510412,   68,    0
   593,  2115,19510413,   71,    0
   593,  2115,19510414,   46,    0
   593,  2115,19510415,   56,    0
   593,  2115,19510416,   67,    0
   593,  2115,19510417,   51,    0
   593,  2115,19510418,   61,    0
   593,  2115,19510419,   69,    0
   593,  2115,19510420,   73,    0
   593,  2115,19510421,   46,    0
   593,  2115,19510422,   63,    0
   593,  2115,19510423,  101,    0
   593,  2115,19510424,  137,    0
   593,  2115,19510425,  147,    0
   593,  2115,19510426,  101,    0
   593,  2115,19510427,   69,    0
   593,  2115,19510428,   48,    0
   593,  2115,19510429,   47,    0
   593,  2115,19510430,   73,    0
   593,  2115,19510501,  105,    0
   593,  2115,19510502,  112,    0
   593,  2115,19510503,  136,    0
   593,  2115,19510504,  134,    0
   593,  2115,19510505,  116,    0
   593,  2115,19510506,  120,    0
   593,  2115,19510507,  106,    0
   593,  2115,19510508,   85,    0
   593,  2115,19510509,   95,    0
   593,  2115,19510510,  116,    0
   593,  2115,19510511,  102,    0
   593,  2115,19510512,   96,    0
   593,  2115,19510513,   83,    0
   593,  2115,19510514,   76,    0
   593,  2115,19510515,   86,    0
   593,  2115,19510516,   86,    0
   593,  2115,19510517,  111,    0
   593,  2115,19510518,  132,    0
   593,  2115,19510519,  157,    0
   593,  2115,19510520,  148,    0
   593,  2115,19510521,  110,    0
   593,  2115,19510522,  113,    0
   593,  2115,19510523,  140,    0
   593,  2115,19510524,  158,    0
   593,  2115,19510525,  137,    0
   593,  2115,19510526,  138,    0
   593,  2115,19510527,  137,    0
   593,  2115,19510528,  123,    0
   593,  2115,19510529,  115,    0
   593,  2115,19510530,  113,    0
   593,  2115,19510531,  135,    0
   593,  2115,19510601,  152,    0
   593,  2115,19510602,  156,    0
   593,  2115,19510603,  138,    0
   593,  2115,19510604,  136,    0
   593,  2115,19510605,  137,    0
   593,  2115,19510606,  143,    0
   593,  2115,19510607,  117,    0
   593,  2115,19510608,  148,    0
