EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IASI, ROMANIA (STAID: 951)
Blended and updated with sources:7511 915090 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   951,  7511,19610101,   16,    0
   951,  7511,19610102,   -2,    0
   951,  7511,19610103,   23,    0
   951,  7511,19610104,   38,    0
   951,  7511,19610105,   90,    0
   951,  7511,19610106,   56,    0
   951,  7511,19610107,   36,    0
   951,  7511,19610108,   27,    0
   951,  7511,19610109,   37,    0
   951,  7511,19610110,   41,    0
   951,  7511,19610111,   12,    0
   951,  7511,19610112,    9,    0
   951,  7511,19610113,   -8,    0
   951,  7511,19610114,  -11,    0
   951,  7511,19610115,  -12,    0
   951,  7511,19610116,   -8,    0
   951,  7511,19610117,  -47,    0
   951,  7511,19610118, -106,    0
   951,  7511,19610119, -110,    0
   951,  7511,19610120, -100,    0
   951,  7511,19610121, -119,    0
   951,  7511,19610122, -127,    0
   951,  7511,19610123,  -93,    0
   951,  7511,19610124,  -95,    0
   951,  7511,19610125,  -86,    0
   951,  7511,19610126, -132,    0
   951,  7511,19610127, -206,    0
   951,  7511,19610128, -181,    0
   951,  7511,19610129, -124,    0
   951,  7511,19610130, -109,    0
   951,  7511,19610131,  -50,    0
   951,  7511,19610201,   14,    0
   951,  7511,19610202,   16,    0
   951,  7511,19610203,   12,    0
   951,  7511,19610204,    0,    0
   951,  7511,19610205,  -24,    0
   951,  7511,19610206,  -53,    0
   951,  7511,19610207,  -75,    0
   951,  7511,19610208,  -42,    0
   951,  7511,19610209,  -17,    0
   951,  7511,19610210,  -38,    0
   951,  7511,19610211,  -24,    0
   951,  7511,19610212,  -12,    0
   951,  7511,19610213,   -2,    0
   951,  7511,19610214,    2,    0
