EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RINGWAY, UNITED KINGDOM (STAID: 1631)
Blended and updated with sources:6934 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1631,  6934,20010101,   50,    0
  1631,  6934,20010102,   73,    0
  1631,  6934,20010103,   47,    0
  1631,  6934,20010104,   47,    0
  1631,  6934,20010105,   40,    0
  1631,  6934,20010106,   41,    0
  1631,  6934,20010107,   51,    0
  1631,  6934,20010108,   56,    1
  1631,  6934,20010109,   22,    0
  1631,  6934,20010110,   30,    0
  1631,  6934,20010111,   44,    0
  1631,  6934,20010112,   51,    0
  1631,  6934,20010113,   45,    0
  1631,  6934,20010114,   29,    0
  1631,  6934,20010115,   25,    1
  1631,  6934,20010116,  -12,    0
  1631,  6934,20010117,   -4,    0
  1631,  6934,20010118,  -12,    0
  1631,  6934,20010119,  -13,    0
  1631,  6934,20010120,    6,    0
  1631,  6934,20010121,   18,    0
  1631,  6934,20010122,   47,    0
  1631,  6934,20010123,   72,    0
  1631,  6934,20010124,   70,    1
  1631,  6934,20010125,   48,    0
  1631,  6934,20010126,   44,    0
  1631,  6934,20010127,   40,    1
  1631,  6934,20010128,    5,    0
  1631,  6934,20010129,   16,    0
  1631,  6934,20010130,   31,    0
  1631,  6934,20010131,   42,    0
  1631,  6934,20010201,   14,    0
  1631,  6934,20010202,   30,    0
  1631,  6934,20010203,   60,    1
  1631,  6934,20010204,   34,    0
  1631,  6934,20010205,   63,    0
  1631,  6934,20010206,   73,    0
  1631,  6934,20010207,   86,    1
  1631,  6934,20010208,   25,    0
  1631,  6934,20010209,   12,    0
  1631,  6934,20010210,   48,    0
  1631,  6934,20010211,   74,    0
  1631,  6934,20010212,   76,    0
  1631,  6934,20010213,   35,    0
  1631,  6934,20010214,   38,    0
  1631,  6934,20010215,   44,    0
  1631,  6934,20010216,   58,    1
  1631,  6934,20010217,   18,    0
  1631,  6934,20010218,   -2,    0
  1631,  6934,20010219,   30,    0
  1631,  6934,20010220,   44,    0
  1631,  6934,20010221,   60,    0
  1631,  6934,20010222,   65,    0
  1631,  6934,20010223,   48,    0
  1631,  6934,20010224,   26,    0
  1631,  6934,20010225,   14,    0
  1631,  6934,20010226,   20,    0
  1631,  6934,20010227,   18,    0
  1631,  6934,20010228,   22,    0
  1631,  6934,20010301,    4,    0
  1631,  6934,20010302,    2,    0
  1631,  6934,20010303,    0,    0
  1631,  6934,20010304,    0,    0
  1631,  6934,20010305,   24,    0
  1631,  6934,20010306,   55,    0
  1631,  6934,20010307,   89,    0
  1631,  6934,20010308,   95,    0
  1631,  6934,20010309,   92,    0
  1631,  6934,20010310,  104,    0
  1631,  6934,20010311,   98,    1
  1631,  6934,20010312,   50,    0
  1631,  6934,20010313,   54,    0
  1631,  6934,20010314,   56,    0
  1631,  6934,20010315,   48,    0
  1631,  6934,20010316,   53,    0
  1631,  6934,20010317,   44,    0
  1631,  6934,20010318,   35,    0
  1631,  6934,20010319,   12,    0
  1631,  6934,20010320,   30,    0
  1631,  6934,20010321,   30,    0
  1631,  6934,20010322,   51,    0
  1631,  6934,20010323,   83,    0
  1631,  6934,20010324,   72,    1
  1631,  6934,20010325,   50,    0
  1631,  6934,20010326,   42,    0
  1631,  6934,20010327,   50,    0
  1631,  6934,20010328,   76,    0
  1631,  6934,20010329,   60,    0
  1631,  6934,20010330,   87,    0
  1631,  6934,20010331,   99,    0
  1631,  6934,20010401,  108,    0
  1631,  6934,20010402,  117,    0
  1631,  6934,20010403,   78,    0
  1631,  6934,20010404,   66,    0
  1631,  6934,20010405,   62,    0
  1631,  6934,20010406,   82,    1
  1631,  6934,20010407,   64,    0
  1631,  6934,20010408,   61,    0
  1631,  6934,20010409,   96,    0
  1631,  6934,20010410,  104,    0
  1631,  6934,20010411,   75,    0
  1631,  6934,20010412,   70,    0
  1631,  6934,20010413,   57,    0
  1631,  6934,20010414,   81,    0
  1631,  6934,20010415,   94,    0
  1631,  6934,20010416,   76,    0
  1631,  6934,20010417,   52,    0
  1631,  6934,20010418,   40,    0
  1631,  6934,20010419,   54,    0
  1631,  6934,20010420,   54,    0
  1631,  6934,20010421,   46,    0
  1631,  6934,20010422,   66,    0
  1631,  6934,20010423,   80,    0
  1631,  6934,20010424,   73,    0
