EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PAISLEY, UNITED KINGDOM (STAID: 1636)
Blended and updated with sources:6939 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1636,  6939,20010101,   40,    0
  1636,  6939,20010102,   54,    0
  1636,  6939,20010103,   46,    0
  1636,  6939,20010104,   50,    0
  1636,  6939,20010105,   52,    0
  1636,  6939,20010106,   55,    0
  1636,  6939,20010107,   65,    0
  1636,  6939,20010108,   58,    1
  1636,  6939,20010109,   32,    0
  1636,  6939,20010110,   12,    0
  1636,  6939,20010111,   19,    0
  1636,  6939,20010112,   22,    0
  1636,  6939,20010113,   12,    0
  1636,  6939,20010114,  -12,    0
  1636,  6939,20010115,  -11,    0
  1636,  6939,20010116,   -6,    0
  1636,  6939,20010117,  -17,    0
  1636,  6939,20010118,   -2,    0
  1636,  6939,20010119,   18,    0
  1636,  6939,20010120,   19,    0
  1636,  6939,20010121,   20,    0
  1636,  6939,20010122,   39,    0
  1636,  6939,20010123,   61,    0
  1636,  6939,20010124,   62,    0
  1636,  6939,20010125,   50,    0
  1636,  6939,20010126,   46,    0
  1636,  6939,20010127,   54,    1
  1636,  6939,20010128,   21,    0
  1636,  6939,20010129,   24,    0
  1636,  6939,20010130,   22,    0
  1636,  6939,20010131,   50,    0
  1636,  6939,20010201,   42,    0
  1636,  6939,20010202,   56,    0
  1636,  6939,20010203,   58,    1
  1636,  6939,20010204,   16,    0
  1636,  6939,20010205,   13,    0
  1636,  6939,20010206,   42,    0
  1636,  6939,20010207,   30,    0
  1636,  6939,20010208,   15,    0
  1636,  6939,20010209,    8,    0
  1636,  6939,20010210,   40,    0
  1636,  6939,20010211,   64,    0
  1636,  6939,20010212,   72,    0
  1636,  6939,20010213,   54,    0
  1636,  6939,20010214,   58,    0
  1636,  6939,20010215,   64,    0
  1636,  6939,20010216,   48,    0
  1636,  6939,20010217,   44,    0
  1636,  6939,20010218,   48,    0
  1636,  6939,20010219,   70,    0
  1636,  6939,20010220,   66,    0
  1636,  6939,20010221,   71,    0
  1636,  6939,20010222,   70,    0
  1636,  6939,20010223,   43,    0
  1636,  6939,20010224,   14,    0
  1636,  6939,20010225,   26,    1
  1636,  6939,20010226,   10,    0
  1636,  6939,20010227,   17,    0
  1636,  6939,20010228,    8,    0
  1636,  6939,20010301,  -20,    0
  1636,  6939,20010302,  -18,    0
  1636,  6939,20010303,   -6,    0
  1636,  6939,20010304,   22,    0
  1636,  6939,20010305,   48,    0
  1636,  6939,20010306,   34,    0
  1636,  6939,20010307,   66,    0
  1636,  6939,20010308,   96,    0
  1636,  6939,20010309,   90,    0
  1636,  6939,20010310,  103,    0
  1636,  6939,20010311,   76,    0
  1636,  6939,20010312,   57,    0
  1636,  6939,20010313,   52,    0
  1636,  6939,20010314,   64,    0
  1636,  6939,20010315,   46,    0
  1636,  6939,20010316,   36,    0
  1636,  6939,20010317,   34,    0
  1636,  6939,20010318,   37,    0
  1636,  6939,20010319,   32,    0
  1636,  6939,20010320,   37,    0
  1636,  6939,20010321,   36,    0
  1636,  6939,20010322,   34,    0
  1636,  6939,20010323,   42,    0
  1636,  6939,20010324,   42,    0
  1636,  6939,20010325,   44,    0
  1636,  6939,20010326,   40,    0
  1636,  6939,20010327,   46,    0
  1636,  6939,20010328,   48,    0
  1636,  6939,20010329,   66,    0
  1636,  6939,20010330,   80,    0
  1636,  6939,20010331,  100,    0
  1636,  6939,20010401,   90,    0
  1636,  6939,20010402,  112,    1
  1636,  6939,20010403,   75,    0
  1636,  6939,20010404,   62,    0
  1636,  6939,20010405,   60,    0
  1636,  6939,20010406,   62,    0
  1636,  6939,20010407,   80,    0
  1636,  6939,20010408,   70,    0
  1636,  6939,20010409,   82,    0
  1636,  6939,20010410,   92,    0
  1636,  6939,20010411,   80,    1
  1636,  6939,20010412,   48,    0
  1636,  6939,20010413,   74,    0
  1636,  6939,20010414,   92,    0
  1636,  6939,20010415,  108,    0
  1636,  6939,20010416,   74,    0
  1636,  6939,20010417,   88,    0
  1636,  6939,20010418,   52,    0
  1636,  6939,20010419,   74,    0
  1636,  6939,20010420,   72,    0
  1636,  6939,20010421,   82,    0
  1636,  6939,20010422,   80,    0
  1636,  6939,20010423,   74,    0
  1636,  6939,20010424,   86,    0
  1636,  6939,20010425,   73,    0
  1636,  6939,20010426,   98,    0
  1636,  6939,20010427,   94,    0
