EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DUBLIN (MERRION SQUARE), IRELAND (STAID: 1715)
Blended and updated with sources:7548 7562 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1715,  7548,19610101,   66,    0
  1715,  7548,19610102,   57,    0
  1715,  7548,19610103,   30,    0
  1715,  7548,19610104,   30,    0
  1715,  7548,19610105,   28,    0
  1715,  7548,19610106,   38,    0
  1715,  7548,19610107,   34,    0
  1715,  7548,19610108,   48,    0
  1715,  7548,19610109,   46,    0
  1715,  7548,19610110,   48,    0
  1715,  7548,19610111,   35,    0
  1715,  7548,19610112,   44,    0
  1715,  7548,19610113,   93,    0
  1715,  7548,19610114,   12,    0
  1715,  7548,19610115,   -3,    0
  1715,  7548,19610116,    2,    0
  1715,  7548,19610117,   62,    0
  1715,  7548,19610118,   72,    0
  1715,  7548,19610119,   41,    0
  1715,  7548,19610120,   43,    0
  1715,  7548,19610121,   59,    0
  1715,  7548,19610122,   60,    0
  1715,  7548,19610123,   60,    0
  1715,  7548,19610124,   44,    0
  1715,  7548,19610125,   32,    0
  1715,  7548,19610126,   76,    0
  1715,  7548,19610127,   80,    0
  1715,  7548,19610128,   84,    0
  1715,  7548,19610129,   85,    0
  1715,  7548,19610130,   58,    0
  1715,  7548,19610131,   46,    0
  1715,  7548,19610201,   48,    0
  1715,  7548,19610202,   46,    0
  1715,  7548,19610203,   38,    0
  1715,  7548,19610204,   57,    0
  1715,  7548,19610205,   91,    0
  1715,  7548,19610206,   49,    0
  1715,  7548,19610207,   74,    0
  1715,  7548,19610208,   95,    0
  1715,  7548,19610209,   91,    0
  1715,  7548,19610210,   90,    0
  1715,  7548,19610211,   93,    0
  1715,  7548,19610212,  113,    0
  1715,  7548,19610213,  108,    0
  1715,  7548,19610214,  116,    0
  1715,  7548,19610215,   81,    0
  1715,  7548,19610216,   73,    0
  1715,  7548,19610217,   81,    0
  1715,  7548,19610218,   96,    0
  1715,  7548,19610219,  114,    0
  1715,  7548,19610220,   92,    0
  1715,  7548,19610221,   67,    0
  1715,  7548,19610222,   63,    0
  1715,  7548,19610223,   69,    0
  1715,  7548,19610224,   86,    0
  1715,  7548,19610225,   62,    0
  1715,  7548,19610226,   99,    0
  1715,  7548,19610227,   75,    0
  1715,  7548,19610228,   72,    0
  1715,  7548,19610301,  104,    0
  1715,  7548,19610302,   97,    0
  1715,  7548,19610303,   76,    0
  1715,  7548,19610304,   73,    0
  1715,  7548,19610305,   86,    0
  1715,  7548,19610306,   94,    0
  1715,  7548,19610307,  104,    0
  1715,  7548,19610308,   98,    0
  1715,  7548,19610309,  101,    0
  1715,  7548,19610310,   92,    0
  1715,  7548,19610311,  101,    0
  1715,  7548,19610312,   91,    0
  1715,  7548,19610313,  130,    0
  1715,  7548,19610314,  125,    0
  1715,  7548,19610315,  117,    0
  1715,  7548,19610316,  105,    0
  1715,  7548,19610317,   59,    0
  1715,  7548,19610318,   65,    0
  1715,  7548,19610319,-9999,    9
  1715,  7548,19610320,   71,    0
  1715,  7548,19610321,   60,    0
  1715,  7548,19610322,   79,    0
  1715,  7548,19610323,   74,    0
  1715,  7548,19610324,  103,    0
  1715,  7548,19610325,   77,    0
  1715,  7548,19610326,  101,    0
  1715,  7548,19610327,   54,    0
  1715,  7548,19610328,   68,    0
  1715,  7548,19610329,-9999,    9
  1715,  7548,19610330,  116,    0
  1715,  7548,19610331,  108,    0
  1715,  7548,19610401,  112,    0
  1715,  7548,19610402,   78,    0
  1715,  7548,19610403,   50,    0
  1715,  7548,19610404,   73,    0
  1715,  7548,19610405,   95,    0
  1715,  7548,19610406,   99,    0
  1715,  7548,19610407,   57,    0
  1715,  7548,19610408,   80,    0
  1715,  7548,19610409,  104,    0
  1715,  7548,19610410,  119,    0
  1715,  7548,19610411,   99,    0
  1715,  7548,19610412,  120,    0
  1715,  7548,19610413,  120,    0
  1715,  7548,19610414,  108,    0
  1715,  7548,19610415,   81,    0
  1715,  7548,19610416,   72,    0
  1715,  7548,19610417,   96,    0
  1715,  7548,19610418,   87,    0
  1715,  7548,19610419,   96,    0
  1715,  7548,19610420,   99,    0
  1715,  7548,19610421,  124,    0
  1715,  7548,19610422,  110,    0
  1715,  7548,19610423,   98,    0
  1715,  7548,19610424,   81,    0
  1715,  7548,19610425,  102,    0
  1715,  7548,19610426,  115,    0
  1715,  7548,19610427,  120,    0
  1715,  7548,19610428,   91,    0
  1715,  7548,19610429,  114,    0
  1715,  7548,19610430,  128,    0
  1715,  7548,19610501,  137,    0
  1715,  7548,19610502,  104,    0
  1715,  7548,19610503,  114,    0
  1715,  7548,19610504,  136,    0
  1715,  7548,19610505,  111,    0
  1715,  7548,19610506,  124,    0
  1715,  7548,19610507,  101,    0
  1715,  7548,19610508,  111,    0
  1715,  7548,19610509,  111,    0
  1715,  7548,19610510,   96,    0
  1715,  7548,19610511,  110,    0
  1715,  7548,19610512,  131,    0
  1715,  7548,19610513,  136,    0
  1715,  7548,19610514,  129,    0
  1715,  7548,19610515,  119,    0
  1715,  7548,19610516,  110,    0
  1715,  7548,19610517,   82,    0
  1715,  7548,19610518,   85,    0
  1715,  7548,19610519,   98,    0
  1715,  7548,19610520,  119,    0
  1715,  7548,19610521,   93,    0
  1715,  7548,19610522,  103,    0
  1715,  7548,19610523,  119,    0
  1715,  7548,19610524,  125,    0
  1715,  7548,19610525,  104,    0
  1715,  7548,19610526,   76,    0
  1715,  7548,19610527,   78,    0
  1715,  7548,19610528,   75,    0
  1715,  7548,19610529,  112,    0
  1715,  7548,19610530,  121,    0
  1715,  7548,19610531,  124,    0
  1715,  7548,19610601,  110,    0
  1715,  7548,19610602,  141,    0
  1715,  7548,19610603,  152,    0
  1715,  7548,19610604,  160,    0
  1715,  7548,19610605,-9999,    9
  1715,  7548,19610606,  141,    0
  1715,  7548,19610607,  132,    0
  1715,  7548,19610608,  116,    0
  1715,  7548,19610609,  117,    0
  1715,  7548,19610610,  130,    0
  1715,  7548,19610611,  128,    0
  1715,  7548,19610612,  121,    0
  1715,  7548,19610613,  121,    0
  1715,  7548,19610614,  126,    0
  1715,  7548,19610615,  159,    0
  1715,  7548,19610616,  136,    0
  1715,  7548,19610617,  175,    0
  1715,  7548,19610618,  136,    0
  1715,  7548,19610619,  130,    0
  1715,  7548,19610620,  126,    0
  1715,  7548,19610621,  133,    0
  1715,  7548,19610622,  151,    0
  1715,  7548,19610623,  170,    0
  1715,  7548,19610624,  172,    0
  1715,  7548,19610625,  169,    0
  1715,  7548,19610626,  134,    0
  1715,  7548,19610627,  114,    0
  1715,  7548,19610628,  138,    0
  1715,  7548,19610629,  167,    0
  1715,  7548,19610630,  175,    0
  1715,  7548,19610701,  175,    0
  1715,  7548,19610702,  161,    0
  1715,  7548,19610703,  139,    0
  1715,  7548,19610704,  144,    0
  1715,  7548,19610705,  136,    0
  1715,  7548,19610706,  141,    0
  1715,  7548,19610707,  174,    0
  1715,  7548,19610708,  163,    0
  1715,  7548,19610709,  154,    0
  1715,  7548,19610710,  148,    0
  1715,  7548,19610711,  151,    0
  1715,  7548,19610712,  161,    0
  1715,  7548,19610713,  114,    0
  1715,  7548,19610714,  129,    0
  1715,  7548,19610715,  132,    0
  1715,  7548,19610716,  133,    0
  1715,  7548,19610717,  151,    0
  1715,  7548,19610718,  149,    0
  1715,  7548,19610719,  132,    0
