EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAWARDEN BRIDGE, UNITED KINGDOM (STAID: 1807)
Blended and updated with sources:7001 903321 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1807,  7001,19210101,-9999,    9
  1807,  7001,19210102,   95,    0
  1807,  7001,19210103,   81,    0
  1807,  7001,19210104,   95,    0
  1807,  7001,19210105,   97,    0
  1807,  7001,19210106,   87,    1
  1807,  7001,19210107,   81,    0
  1807,  7001,19210108,   42,    0
  1807,  7001,19210109,   89,    0
  1807,  7001,19210110,  117,    1
  1807,  7001,19210111,   92,    1
  1807,  7001,19210112,   64,    1
  1807,  7001,19210113,   56,    0
  1807,  7001,19210114,   28,    0
  1807,  7001,19210115,   28,    0
  1807,  7001,19210116,   45,    0
  1807,  7001,19210117,  100,    1
  1807,  7001,19210118,   98,    0
  1807,  7001,19210119,   47,    0
  1807,  7001,19210120,   81,    0
  1807,  7001,19210121,  103,    0
  1807,  7001,19210122,   75,    0
  1807,  7001,19210123,   95,    0
  1807,  7001,19210124,   98,    0
  1807,  7001,19210125,  111,    0
  1807,  7001,19210126,  106,    0
  1807,  7001,19210127,   92,    0
  1807,  7001,19210128,  100,    0
  1807,  7001,19210129,  120,    1
  1807,  7001,19210130,  100,    1
  1807,  7001,19210131,   84,    1
  1807,  7001,19210201,   36,    0
  1807,  7001,19210202,   36,    0
  1807,  7001,19210203,   39,    0
  1807,  7001,19210204,   37,    0
  1807,  7001,19210205,   31,    0
  1807,  7001,19210206,   42,    1
  1807,  7001,19210207,   33,    0
  1807,  7001,19210208,   22,    0
  1807,  7001,19210209,   39,    0
  1807,  7001,19210210,   31,    0
  1807,  7001,19210211,   37,    0
  1807,  7001,19210212,   45,    0
  1807,  7001,19210213,   64,    0
  1807,  7001,19210214,   78,    0
  1807,  7001,19210215,   81,    0
  1807,  7001,19210216,   95,    0
  1807,  7001,19210217,   95,    1
  1807,  7001,19210218,   64,    1
  1807,  7001,19210219,   59,    0
  1807,  7001,19210220,   42,    0
  1807,  7001,19210221,   36,    0
  1807,  7001,19210222,   50,    0
  1807,  7001,19210223,   56,    0
  1807,  7001,19210224,   98,    1
  1807,  7001,19210225,   89,    0
  1807,  7001,19210226,   56,    0
  1807,  7001,19210227,   70,    0
  1807,  7001,19210228,   89,    0
  1807,  7001,19210301,   89,    1
  1807,  7001,19210302,   72,    0
  1807,  7001,19210303,   48,    0
  1807,  7001,19210304,   84,    0
  1807,  7001,19210305,  100,    1
  1807,  7001,19210306,   78,    1
  1807,  7001,19210307,   20,    0
  1807,  7001,19210308,   39,    0
  1807,  7001,19210309,   86,    0
  1807,  7001,19210310,   95,    0
  1807,  7001,19210311,   89,    0
  1807,  7001,19210312,   53,    0
  1807,  7001,19210313,   73,    0
  1807,  7001,19210314,   75,    0
  1807,  7001,19210315,   59,    0
  1807,  7001,19210316,   97,    0
  1807,  7001,19210317,  106,    1
  1807,  7001,19210318,   81,    0
  1807,  7001,19210319,   72,    0
  1807,  7001,19210320,   81,    0
  1807,  7001,19210321,   84,    0
  1807,  7001,19210322,  125,    1
  1807,  7001,19210323,   89,    0
  1807,  7001,19210324,  111,    0
  1807,  7001,19210325,  111,    1
  1807,  7001,19210326,   78,    0
  1807,  7001,19210327,   70,    0
  1807,  7001,19210328,   84,    1
  1807,  7001,19210329,   70,    0
  1807,  7001,19210330,   64,    0
  1807,  7001,19210331,  100,    0
  1807,  7001,19210401,   97,    0
  1807,  7001,19210402,   89,    0
  1807,  7001,19210403,   81,    0
  1807,  7001,19210404,   86,    0
  1807,  7001,19210405,   81,    0
  1807,  7001,19210406,   95,    0
  1807,  7001,19210407,  108,    0
  1807,  7001,19210408,   53,    0
  1807,  7001,19210409,   78,    0
  1807,  7001,19210410,   75,    0
  1807,  7001,19210411,   86,    0
  1807,  7001,19210412,   70,    0
  1807,  7001,19210413,  106,    1
  1807,  7001,19210414,   92,    1
  1807,  7001,19210415,   50,    0
  1807,  7001,19210416,   33,    0
  1807,  7001,19210417,   47,    0
  1807,  7001,19210418,   42,    0
  1807,  7001,19210419,   53,    0
  1807,  7001,19210420,   36,    0
  1807,  7001,19210421,   78,    0
  1807,  7001,19210422,   81,    0
  1807,  7001,19210423,   95,    0
  1807,  7001,19210424,   83,    0
  1807,  7001,19210425,   78,    0
  1807,  7001,19210426,   62,    0
  1807,  7001,19210427,   78,    0
  1807,  7001,19210428,  106,    0
  1807,  7001,19210429,  131,    0
  1807,  7001,19210430,  128,    0
  1807,  7001,19210501,  109,    0
  1807,  7001,19210502,  120,    1
  1807,  7001,19210503,   75,    0
  1807,  7001,19210504,   64,    0
  1807,  7001,19210505,   53,    0
  1807,  7001,19210506,   97,    0
  1807,  7001,19210507,  125,    0
  1807,  7001,19210508,  123,    0
  1807,  7001,19210509,  123,    0
  1807,  7001,19210510,   95,    0
  1807,  7001,19210511,   97,    0
  1807,  7001,19210512,  134,    0
  1807,  7001,19210513,  131,    0
  1807,  7001,19210514,  134,    0
  1807,  7001,19210515,  125,    0
  1807,  7001,19210516,   83,    0
  1807,  7001,19210517,  128,    0
  1807,  7001,19210518,   95,    0
  1807,  7001,19210519,  103,    0
  1807,  7001,19210520,  120,    0
  1807,  7001,19210521,   98,    0
  1807,  7001,19210522,  131,    0
  1807,  7001,19210523,  142,    0
  1807,  7001,19210524,  106,    0
  1807,  7001,19210525,  139,    1
  1807,  7001,19210526,  167,    1
  1807,  7001,19210527,  103,    0
  1807,  7001,19210528,   84,    0
  1807,  7001,19210529,   83,    0
  1807,  7001,19210530,  117,    0
  1807,  7001,19210531,  136,    0
  1807,  7001,19210601,  120,    0
  1807,  7001,19210602,  103,    0
  1807,  7001,19210603,  120,    0
  1807,  7001,19210604,  162,    0
  1807,  7001,19210605,  137,    0
  1807,  7001,19210606,  128,    0
  1807,  7001,19210607,  142,    0
  1807,  7001,19210608,  167,    0
  1807,  7001,19210609,  142,    0
  1807,  7001,19210610,  139,    0
  1807,  7001,19210611,  134,    0
  1807,  7001,19210612,  114,    0
  1807,  7001,19210613,  142,    0
  1807,  7001,19210614,  134,    0
  1807,  7001,19210615,  153,    0
  1807,  7001,19210616,  150,    0
  1807,  7001,19210617,  167,    0
  1807,  7001,19210618,  164,    1
  1807,  7001,19210619,  136,    0
  1807,  7001,19210620,  128,    0
  1807,  7001,19210621,  142,    0
  1807,  7001,19210622,  139,    0
  1807,  7001,19210623,  156,    0
  1807,  7001,19210624,  167,    0
  1807,  7001,19210625,  203,    1
  1807,  7001,19210626,  200,    0
  1807,  7001,19210627,  137,    0
  1807,  7001,19210628,  134,    0
  1807,  7001,19210629,  150,    0
  1807,  7001,19210630,  153,    0
  1807,  7001,19210701,  167,    0
  1807,  7001,19210702,  145,    0
  1807,  7001,19210703,  162,    0
  1807,  7001,19210704,  147,    0
  1807,  7001,19210705,  139,    0
  1807,  7001,19210706,  175,    0
  1807,  7001,19210707,  189,    0
  1807,  7001,19210708,  164,    0
  1807,  7001,19210709,  192,    0
  1807,  7001,19210710,  220,    0
  1807,  7001,19210711,  209,    0
  1807,  7001,19210712,  172,    0
  1807,  7001,19210713,  187,    0
  1807,  7001,19210714,  211,    0
  1807,  7001,19210715,  192,    0
  1807,  7001,19210716,  200,    0
  1807,  7001,19210717,  206,    0
  1807,  7001,19210718,  203,    0
  1807,  7001,19210719,  214,    0
  1807,  7001,19210720,  222,    1
  1807,  7001,19210721,  173,    0
  1807,  7001,19210722,  164,    0
  1807,  7001,19210723,  195,    0
  1807,  7001,19210724,  164,    0
  1807,  7001,19210725,  175,    0
  1807,  7001,19210726,  203,    0
  1807,  7001,19210727,  153,    0
  1807,  7001,19210728,  175,    0
  1807,  7001,19210729,  200,    0
  1807,  7001,19210730,  150,    0
  1807,  7001,19210731,  159,    0
  1807,  7001,19210801,  197,    0
  1807,  7001,19210802,  195,    1
  1807,  7001,19210803,  150,    0
  1807,  7001,19210804,  145,    0
  1807,  7001,19210805,  164,    0
  1807,  7001,19210806,  161,    0
  1807,  7001,19210807,  156,    0
  1807,  7001,19210808,  153,    0
  1807,  7001,19210809,  148,    0
  1807,  7001,19210810,  150,    0
  1807,  7001,19210811,  159,    0
  1807,  7001,19210812,  139,    0
  1807,  7001,19210813,  142,    0
  1807,  7001,19210814,  148,    0
  1807,  7001,19210815,  148,    0
  1807,  7001,19210816,  133,    0
  1807,  7001,19210817,  136,    0
  1807,  7001,19210818,  147,    0
  1807,  7001,19210819,  172,    0
  1807,  7001,19210820,  178,    1
  1807,  7001,19210821,  164,    0
  1807,  7001,19210822,  153,    0
  1807,  7001,19210823,  153,    0
  1807,  7001,19210824,  173,    0
  1807,  7001,19210825,  150,    0
  1807,  7001,19210826,  150,    0
  1807,  7001,19210827,  175,    1
  1807,  7001,19210828,  167,    1
  1807,  7001,19210829,  139,    0
  1807,  7001,19210830,  122,    0
  1807,  7001,19210831,  100,    0
  1807,  7001,19210901,  139,    0
  1807,  7001,19210902,  175,    1
  1807,  7001,19210903,  145,    0
  1807,  7001,19210904,  133,    0
  1807,  7001,19210905,  139,    0
  1807,  7001,19210906,  145,    0
  1807,  7001,19210907,  161,    0
  1807,  7001,19210908,  178,    0
  1807,  7001,19210909,  167,    0
  1807,  7001,19210910,  186,    1
  1807,  7001,19210911,  139,    0
  1807,  7001,19210912,  139,    0
  1807,  7001,19210913,  137,    0
  1807,  7001,19210914,  150,    0
  1807,  7001,19210915,  147,    0
  1807,  7001,19210916,  125,    0
  1807,  7001,19210917,  111,    0
  1807,  7001,19210918,  111,    0
  1807,  7001,19210919,  136,    0
  1807,  7001,19210920,  147,    0
  1807,  7001,19210921,  142,    0
  1807,  7001,19210922,  156,    0
  1807,  7001,19210923,  206,    1
  1807,  7001,19210924,  178,    0
  1807,  7001,19210925,  134,    0
  1807,  7001,19210926,  117,    0
  1807,  7001,19210927,  120,    0
  1807,  7001,19210928,  147,    0
  1807,  7001,19210929,  120,    0
