EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STORMONT CASTLE, UNITED KINGDOM (STAID: 1821)
Blended and updated with sources:7015 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1821,  7015,19600101,   75,    0
  1821,  7015,19600102,   56,    0
  1821,  7015,19600103,   84,    1
  1821,  7015,19600104,   75,    0
  1821,  7015,19600105,   44,    0
  1821,  7015,19600106,   30,    0
  1821,  7015,19600107,   42,    0
  1821,  7015,19600108,   36,    0
  1821,  7015,19600109,   42,    0
  1821,  7015,19600110,   25,    0
  1821,  7015,19600111,   38,    0
  1821,  7015,19600112,   53,    0
  1821,  7015,19600113,   47,    0
  1821,  7015,19600114,   22,    0
  1821,  7015,19600115,   34,    0
  1821,  7015,19600116,   44,    0
  1821,  7015,19600117,   48,    0
  1821,  7015,19600118,   44,    1
  1821,  7015,19600119,   30,    0
  1821,  7015,19600120,   30,    0
  1821,  7015,19600121,   56,    0
  1821,  7015,19600122,   98,    0
  1821,  7015,19600123,   94,    1
  1821,  7015,19600124,   36,    0
  1821,  7015,19600125,   36,    0
  1821,  7015,19600126,   34,    0
  1821,  7015,19600127,   39,    0
  1821,  7015,19600128,   36,    0
  1821,  7015,19600129,   28,    0
  1821,  7015,19600130,   47,    0
  1821,  7015,19600131,   80,    0
  1821,  7015,19600201,   84,    0
  1821,  7015,19600202,   84,    0
  1821,  7015,19600203,   89,    0
  1821,  7015,19600204,   72,    0
  1821,  7015,19600205,   48,    0
  1821,  7015,19600206,   30,    0
  1821,  7015,19600207,   36,    0
  1821,  7015,19600208,   44,    0
  1821,  7015,19600209,   28,    0
  1821,  7015,19600210,   39,    0
  1821,  7015,19600211,   50,    0
  1821,  7015,19600212,   47,    1
  1821,  7015,19600213,   16,    0
  1821,  7015,19600214,   11,    0
  1821,  7015,19600215,    0,    0
  1821,  7015,19600216,    8,    0
  1821,  7015,19600217,  -14,    0
  1821,  7015,19600218,    0,    0
  1821,  7015,19600219,    0,    0
  1821,  7015,19600220,   11,    0
  1821,  7015,19600221,   25,    0
  1821,  7015,19600222,    8,    0
  1821,  7015,19600223,   30,    0
  1821,  7015,19600224,   42,    0
  1821,  7015,19600225,   58,    0
  1821,  7015,19600226,   44,    0
  1821,  7015,19600227,   72,    0
  1821,  7015,19600228,  100,    0
  1821,  7015,19600229,   94,    0
  1821,  7015,19600301,   92,    0
  1821,  7015,19600302,   78,    0
  1821,  7015,19600303,   89,    0
  1821,  7015,19600304,   48,    0
  1821,  7015,19600305,   70,    1
  1821,  7015,19600306,   58,    1
  1821,  7015,19600307,   48,    1
  1821,  7015,19600308,   22,    0
  1821,  7015,19600309,   36,    0
  1821,  7015,19600310,   52,    0
  1821,  7015,19600311,   75,    0
  1821,  7015,19600312,   64,    0
