EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRADFORD, UNITED KINGDOM (STAID: 1847)
Blended and updated with sources:7041 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1847,  7041,19110101,-9999,    9
  1847,  7041,19110102,   22,    0
  1847,  7041,19110103,   20,    0
  1847,  7041,19110104,   17,    0
  1847,  7041,19110105,   22,    0
  1847,  7041,19110106,   25,    0
  1847,  7041,19110107,   22,    0
  1847,  7041,19110108,   39,    0
  1847,  7041,19110109,   67,    1
  1847,  7041,19110110,   34,    0
  1847,  7041,19110111,   45,    1
  1847,  7041,19110112,   36,    1
  1847,  7041,19110113,    6,    0
  1847,  7041,19110114,    8,    0
  1847,  7041,19110115,   39,    0
  1847,  7041,19110116,   47,    0
  1847,  7041,19110117,   47,    0
  1847,  7041,19110118,   59,    1
  1847,  7041,19110119,   50,    1
  1847,  7041,19110120,   34,    0
  1847,  7041,19110121,    0,    0
  1847,  7041,19110122,   48,    0
  1847,  7041,19110123,   36,    0
  1847,  7041,19110124,   39,    0
  1847,  7041,19110125,   61,    0
  1847,  7041,19110126,   95,    1
  1847,  7041,19110127,   78,    0
  1847,  7041,19110128,   67,    1
  1847,  7041,19110129,   64,    1
  1847,  7041,19110130,   34,    1
  1847,  7041,19110131,    0,    0
  1847,  7041,19110201,  -28,    0
  1847,  7041,19110202,  -14,    0
  1847,  7041,19110203,   14,    0
  1847,  7041,19110204,   47,    1
  1847,  7041,19110205,   39,    1
  1847,  7041,19110206,   17,    0
  1847,  7041,19110207,    3,    0
  1847,  7041,19110208,   22,    0
  1847,  7041,19110209,   23,    0
  1847,  7041,19110210,   14,    0
  1847,  7041,19110211,   19,    0
  1847,  7041,19110212,    9,    0
  1847,  7041,19110213,   28,    0
  1847,  7041,19110214,   58,    0
  1847,  7041,19110215,   42,    0
  1847,  7041,19110216,   53,    0
  1847,  7041,19110217,   89,    0
  1847,  7041,19110218,   95,    1
  1847,  7041,19110219,   73,    1
  1847,  7041,19110220,   34,    0
  1847,  7041,19110221,   45,    0
  1847,  7041,19110222,   78,    0
  1847,  7041,19110223,   53,    0
  1847,  7041,19110224,   69,    0
  1847,  7041,19110225,   56,    0
  1847,  7041,19110226,   64,    0
  1847,  7041,19110227,   37,    0
  1847,  7041,19110228,   64,    0
  1847,  7041,19110301,   72,    0
  1847,  7041,19110302,   75,    0
  1847,  7041,19110303,   97,    1
  1847,  7041,19110304,   92,    1
  1847,  7041,19110305,   39,    0
  1847,  7041,19110306,   50,    0
  1847,  7041,19110307,   47,    0
  1847,  7041,19110308,   39,    0
  1847,  7041,19110309,   48,    0
  1847,  7041,19110310,   48,    0
  1847,  7041,19110311,   45,    0
  1847,  7041,19110312,   47,    1
  1847,  7041,19110313,   23,    0
  1847,  7041,19110314,   25,    0
  1847,  7041,19110315,   28,    0
  1847,  7041,19110316,   28,    0
  1847,  7041,19110317,   25,    0
  1847,  7041,19110318,   31,    0
  1847,  7041,19110319,   25,    0
  1847,  7041,19110320,   22,    0
  1847,  7041,19110321,   42,    0
  1847,  7041,19110322,   39,    0
  1847,  7041,19110323,   42,    0
  1847,  7041,19110324,   53,    1
  1847,  7041,19110325,   34,    0
  1847,  7041,19110326,   20,    0
  1847,  7041,19110327,   31,    0
  1847,  7041,19110328,   45,    1
  1847,  7041,19110329,   36,    0
  1847,  7041,19110330,   36,    0
  1847,  7041,19110331,   42,    0
  1847,  7041,19110401,   42,    0
  1847,  7041,19110402,   53,    0
  1847,  7041,19110403,   50,    1
  1847,  7041,19110404,   25,    1
  1847,  7041,19110405,    3,    0
  1847,  7041,19110406,   -6,    0
