EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SHEFFIELD, UNITED KINGDOM (STAID: 1848)
Blended and updated with sources:7042 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1848,  7042,18830101,-9999,    9
  1848,  7042,18830102,   89,    1
  1848,  7042,18830103,   81,    1
  1848,  7042,18830104,   59,    1
  1848,  7042,18830105,   55,    0
  1848,  7042,18830106,   44,    0
  1848,  7042,18830107,   36,    1
  1848,  7042,18830108,   37,    1
  1848,  7042,18830109,   15,    0
  1848,  7042,18830110,   18,    0
  1848,  7042,18830111,   27,    0
  1848,  7042,18830112,   27,    0
  1848,  7042,18830113,   22,    0
  1848,  7042,18830114,   30,    0
  1848,  7042,18830115,   28,    0
  1848,  7042,18830116,   34,    0
  1848,  7042,18830117,   52,    0
  1848,  7042,18830118,   66,    0
  1848,  7042,18830119,   65,    0
  1848,  7042,18830120,   70,    0
  1848,  7042,18830121,   43,    0
  1848,  7042,18830122,   47,    0
  1848,  7042,18830123,   36,    1
  1848,  7042,18830124,   24,    0
  1848,  7042,18830125,   18,    0
  1848,  7042,18830126,   31,    1
  1848,  7042,18830127,   28,    0
  1848,  7042,18830128,   17,    0
  1848,  7042,18830129,   52,    0
  1848,  7042,18830130,   34,    0
  1848,  7042,18830131,   25,    1
  1848,  7042,18830201,   11,    0
  1848,  7042,18830202,    3,    0
  1848,  7042,18830203,   42,    0
  1848,  7042,18830204,   50,    0
  1848,  7042,18830205,   57,    0
  1848,  7042,18830206,   51,    0
  1848,  7042,18830207,   37,    0
  1848,  7042,18830208,   29,    0
  1848,  7042,18830209,   36,    0
  1848,  7042,18830210,   50,    0
  1848,  7042,18830211,   54,    0
  1848,  7042,18830212,   50,    0
  1848,  7042,18830213,   48,    0
  1848,  7042,18830214,   50,    0
  1848,  7042,18830215,   57,    0
  1848,  7042,18830216,   54,    0
  1848,  7042,18830217,   51,    0
  1848,  7042,18830218,   58,    0
  1848,  7042,18830219,   43,    0
  1848,  7042,18830220,   42,    0
  1848,  7042,18830221,   62,    0
  1848,  7042,18830222,   98,    1
  1848,  7042,18830223,   87,    0
  1848,  7042,18830224,   66,    0
  1848,  7042,18830225,   75,    0
  1848,  7042,18830226,   63,    0
  1848,  7042,18830227,   85,    0
  1848,  7042,18830228,   82,    0
  1848,  7042,18830301,   77,    1
  1848,  7042,18830302,   59,    1
  1848,  7042,18830303,   45,    0
  1848,  7042,18830304,   26,    0
  1848,  7042,18830305,   56,    0
  1848,  7042,18830306,   64,    1
  1848,  7042,18830307,   49,    1
  1848,  7042,18830308,   -4,    0
  1848,  7042,18830309,  -13,    0
  1848,  7042,18830310,  -43,    0
  1848,  7042,18830311,   -9,    0
  1848,  7042,18830312,   -4,    0
  1848,  7042,18830313,   10,    0
  1848,  7042,18830314,   14,    0
  1848,  7042,18830315,    6,    0
  1848,  7042,18830316,    5,    0
  1848,  7042,18830317,   -2,    0
  1848,  7042,18830318,    7,    0
  1848,  7042,18830319,    7,    0
  1848,  7042,18830320,   17,    0
  1848,  7042,18830321,   16,    0
  1848,  7042,18830322,    1,    1
  1848,  7042,18830323,    0,    0
  1848,  7042,18830324,  -28,    0
  1848,  7042,18830325,   -4,    0
  1848,  7042,18830326,   15,    0
  1848,  7042,18830327,   16,    0
  1848,  7042,18830328,    5,    0
  1848,  7042,18830329,   24,    0
  1848,  7042,18830330,   43,    0
  1848,  7042,18830331,   39,    0
  1848,  7042,18830401,   53,    0
  1848,  7042,18830402,   46,    0
  1848,  7042,18830403,   96,    0
  1848,  7042,18830404,  103,    0
  1848,  7042,18830405,  104,    0
  1848,  7042,18830406,  106,    0
  1848,  7042,18830407,   80,    0
  1848,  7042,18830408,   61,    0
  1848,  7042,18830409,   76,    0
  1848,  7042,18830410,   90,    0
  1848,  7042,18830411,  110,    0
  1848,  7042,18830412,   90,    0
  1848,  7042,18830413,   94,    0
  1848,  7042,18830414,   85,    0
  1848,  7042,18830415,   95,    0
  1848,  7042,18830416,   90,    0
  1848,  7042,18830417,   75,    0
  1848,  7042,18830418,   88,    0
  1848,  7042,18830419,   83,    0
  1848,  7042,18830420,  107,    0
  1848,  7042,18830421,   67,    0
  1848,  7042,18830422,   68,    0
  1848,  7042,18830423,   46,    0
  1848,  7042,18830424,   51,    0
  1848,  7042,18830425,   31,    0
  1848,  7042,18830426,   50,    0
  1848,  7042,18830427,   91,    0
  1848,  7042,18830428,  101,    1
  1848,  7042,18830429,  105,    0
  1848,  7042,18830430,   70,    0
  1848,  7042,18830501,   71,    0
  1848,  7042,18830502,   79,    1
  1848,  7042,18830503,   81,    1
  1848,  7042,18830504,   43,    0
  1848,  7042,18830505,   38,    0
  1848,  7042,18830506,   50,    0
  1848,  7042,18830507,   61,    0
  1848,  7042,18830508,   80,    1
  1848,  7042,18830509,   70,    1
  1848,  7042,18830510,   43,    0
  1848,  7042,18830511,   49,    0
  1848,  7042,18830512,   54,    0
  1848,  7042,18830513,  102,    0
  1848,  7042,18830514,  135,    0
  1848,  7042,18830515,  119,    0
  1848,  7042,18830516,  138,    0
  1848,  7042,18830517,  123,    0
  1848,  7042,18830518,  131,    1
  1848,  7042,18830519,  144,    0
  1848,  7042,18830520,  101,    0
  1848,  7042,18830521,   96,    0
  1848,  7042,18830522,  117,    0
  1848,  7042,18830523,  147,    0
  1848,  7042,18830524,  159,    0
  1848,  7042,18830525,  144,    0
  1848,  7042,18830526,  165,    0
  1848,  7042,18830527,  138,    0
  1848,  7042,18830528,  120,    0
  1848,  7042,18830529,  146,    0
  1848,  7042,18830530,  111,    0
  1848,  7042,18830531,  144,    0
  1848,  7042,18830601,  143,    0
  1848,  7042,18830602,  137,    0
  1848,  7042,18830603,  144,    0
  1848,  7042,18830604,  137,    0
  1848,  7042,18830605,  126,    0
  1848,  7042,18830606,  118,    0
  1848,  7042,18830607,  115,    0
  1848,  7042,18830608,  113,    0
  1848,  7042,18830609,  105,    0
  1848,  7042,18830610,  139,    0
  1848,  7042,18830611,  147,    0
  1848,  7042,18830612,  120,    0
  1848,  7042,18830613,  140,    0
  1848,  7042,18830614,  155,    0
  1848,  7042,18830615,  165,    1
  1848,  7042,18830616,  140,    0
  1848,  7042,18830617,   93,    0
  1848,  7042,18830618,  105,    0
  1848,  7042,18830619,  105,    0
  1848,  7042,18830620,  123,    0
  1848,  7042,18830621,  122,    0
  1848,  7042,18830622,   95,    0
  1848,  7042,18830623,  115,    0
  1848,  7042,18830624,  156,    0
  1848,  7042,18830625,  166,    0
  1848,  7042,18830626,  153,    0
  1848,  7042,18830627,  149,    0
  1848,  7042,18830628,  147,    0
  1848,  7042,18830629,  167,    0
  1848,  7042,18830630,  181,    0
  1848,  7042,18830701,  177,    0
  1848,  7042,18830702,  185,    0
  1848,  7042,18830703,  185,    0
  1848,  7042,18830704,  181,    0
  1848,  7042,18830705,  166,    0
  1848,  7042,18830706,  148,    0
  1848,  7042,18830707,  156,    0
  1848,  7042,18830708,  165,    0
  1848,  7042,18830709,  180,    0
  1848,  7042,18830710,  172,    0
  1848,  7042,18830711,  161,    0
  1848,  7042,18830712,  166,    0
  1848,  7042,18830713,  160,    0
  1848,  7042,18830714,  144,    0
  1848,  7042,18830715,  136,    0
  1848,  7042,18830716,  133,    0
  1848,  7042,18830717,  132,    0
  1848,  7042,18830718,  128,    0
  1848,  7042,18830719,  128,    0
  1848,  7042,18830720,  111,    0
  1848,  7042,18830721,  128,    0
  1848,  7042,18830722,  124,    0
  1848,  7042,18830723,  106,    0
  1848,  7042,18830724,  121,    0
  1848,  7042,18830725,  131,    0
  1848,  7042,18830726,  142,    0
  1848,  7042,18830727,  139,    0
  1848,  7042,18830728,  135,    0
  1848,  7042,18830729,  124,    0
  1848,  7042,18830730,  166,    1
