EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NOTTINGHAM: WATNALL, UNITED KINGDOM (STAID: 1850)
Blended and updated with sources:7044 903354 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1850,  7044,19600101,   92,    1
  1850,  7044,19600102,   50,    0
  1850,  7044,19600103,   69,    0
  1850,  7044,19600104,   78,    1
  1850,  7044,19600105,   70,    0
  1850,  7044,19600106,   50,    1
  1850,  7044,19600107,   11,    0
  1850,  7044,19600108,   17,    0
  1850,  7044,19600109,   14,    0
  1850,  7044,19600110,   11,    0
  1850,  7044,19600111,   28,    0
  1850,  7044,19600112,   16,    1
  1850,  7044,19600113,  -14,    0
  1850,  7044,19600114,  -22,    0
  1850,  7044,19600115,    2,    0
  1850,  7044,19600116,   14,    0
  1850,  7044,19600117,    0,    0
  1850,  7044,19600118,   22,    0
  1850,  7044,19600119,   50,    1
  1850,  7044,19600120,   16,    0
  1850,  7044,19600121,   53,    0
  1850,  7044,19600122,   64,    0
  1850,  7044,19600123,  102,    1
  1850,  7044,19600124,   72,    0
  1850,  7044,19600125,   44,    1
  1850,  7044,19600126,   22,    0
  1850,  7044,19600127,   22,    0
  1850,  7044,19600128,   28,    0
  1850,  7044,19600129,   31,    0
  1850,  7044,19600130,   47,    0
  1850,  7044,19600131,   56,    0
  1850,  7044,19600201,   58,    0
  1850,  7044,19600202,   66,    0
  1850,  7044,19600203,   86,    1
  1850,  7044,19600204,   61,    0
  1850,  7044,19600205,   44,    0
  1850,  7044,19600206,   42,    0
  1850,  7044,19600207,   36,    0
  1850,  7044,19600208,   11,    0
  1850,  7044,19600209,   22,    0
  1850,  7044,19600210,   42,    1
  1850,  7044,19600211,    0,    0
  1850,  7044,19600212,   14,    0
  1850,  7044,19600213,    0,    0
  1850,  7044,19600214,   -6,    0
  1850,  7044,19600215,  -11,    0
  1850,  7044,19600216,    6,    0
  1850,  7044,19600217,   -8,    0
  1850,  7044,19600218,  -14,    0
  1850,  7044,19600219,   16,    0
  1850,  7044,19600220,   34,    0
  1850,  7044,19600221,   34,    0
  1850,  7044,19600222,    8,    0
  1850,  7044,19600223,   22,    0
  1850,  7044,19600224,    8,    0
  1850,  7044,19600225,   20,    0
  1850,  7044,19600226,   70,    0
  1850,  7044,19600227,   78,    0
  1850,  7044,19600228,  117,    0
  1850,  7044,19600229,  116,    0
  1850,  7044,19600301,  102,    0
  1850,  7044,19600302,   86,    0
  1850,  7044,19600303,   84,    0
  1850,  7044,19600304,   61,    0
  1850,  7044,19600305,   64,    1
  1850,  7044,19600306,   36,    0
  1850,  7044,19600307,   28,    1
  1850,  7044,19600308,    0,    0
  1850,  7044,19600309,   25,    0
  1850,  7044,19600310,   44,    0
  1850,  7044,19600311,   75,    0
  1850,  7044,19600312,   61,    0
  1850,  7044,19600313,   66,    0
  1850,  7044,19600314,   92,    0
  1850,  7044,19600315,   92,    1
  1850,  7044,19600316,   47,    1
  1850,  7044,19600317,   34,    0
  1850,  7044,19600318,   30,    0
  1850,  7044,19600319,   47,    0
  1850,  7044,19600320,   47,    0
  1850,  7044,19600321,   52,    0
  1850,  7044,19600322,   39,    0
  1850,  7044,19600323,   66,    0
  1850,  7044,19600324,   78,    1
  1850,  7044,19600325,   47,    0
  1850,  7044,19600326,   58,    0
  1850,  7044,19600327,   56,    0
  1850,  7044,19600328,   47,    0
  1850,  7044,19600329,   48,    0
  1850,  7044,19600330,   39,    0
  1850,  7044,19600331,   56,    0
  1850,  7044,19600401,   66,    0
  1850,  7044,19600402,   83,    0
  1850,  7044,19600403,   97,    0
  1850,  7044,19600404,  106,    0
  1850,  7044,19600405,  116,    0
  1850,  7044,19600406,  128,    0
  1850,  7044,19600407,  100,    0
  1850,  7044,19600408,   94,    0
  1850,  7044,19600409,  111,    0
  1850,  7044,19600410,   89,    0
  1850,  7044,19600411,   89,    0
  1850,  7044,19600412,   72,    0
  1850,  7044,19600413,  114,    0
  1850,  7044,19600414,   80,    0
  1850,  7044,19600415,   78,    0
  1850,  7044,19600416,   67,    0
  1850,  7044,19600417,   56,    0
  1850,  7044,19600418,   70,    0
  1850,  7044,19600419,   80,    0
  1850,  7044,19600420,  114,    0
  1850,  7044,19600421,  108,    0
  1850,  7044,19600422,  106,    0
  1850,  7044,19600423,   97,    0
  1850,  7044,19600424,   92,    0
  1850,  7044,19600425,   89,    0
  1850,  7044,19600426,   89,    0
  1850,  7044,19600427,   86,    0
  1850,  7044,19600428,   80,    0
  1850,  7044,19600429,   64,    0
  1850,  7044,19600430,   69,    0
  1850,  7044,19600501,   70,    0
  1850,  7044,19600502,   72,    0
  1850,  7044,19600503,  111,    0
  1850,  7044,19600504,   92,    0
  1850,  7044,19600505,  136,    0
  1850,  7044,19600506,  150,    0
  1850,  7044,19600507,  152,    0
  1850,  7044,19600508,  167,    0
  1850,  7044,19600509,  153,    0
  1850,  7044,19600510,  156,    0
  1850,  7044,19600511,  130,    1
  1850,  7044,19600512,  111,    0
  1850,  7044,19600513,  136,    0
  1850,  7044,19600514,  147,    0
  1850,  7044,19600515,  152,    0
  1850,  7044,19600516,  150,    0
  1850,  7044,19600517,  139,    1
  1850,  7044,19600518,  106,    1
  1850,  7044,19600519,   89,    0
  1850,  7044,19600520,   98,    0
  1850,  7044,19600521,  100,    0
  1850,  7044,19600522,  114,    0
  1850,  7044,19600523,  125,    0
  1850,  7044,19600524,  117,    0
  1850,  7044,19600525,  120,    0
  1850,  7044,19600526,  178,    0
  1850,  7044,19600527,  164,    0
  1850,  7044,19600528,  130,    0
  1850,  7044,19600529,  112,    0
  1850,  7044,19600530,  116,    0
  1850,  7044,19600531,  136,    0
  1850,  7044,19600601,  152,    0
  1850,  7044,19600602,  172,    0
