EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOCHUM, GERMANY (STAID: 4769)
Blended and updated with sources:30320 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4769, 30320,19400101,  -42,    0
  4769, 30320,19400102,  -70,    0
  4769, 30320,19400103,  -51,    0
  4769, 30320,19400104,  -59,    0
  4769, 30320,19400105,  -52,    0
  4769, 30320,19400106,  -21,    0
  4769, 30320,19400107,   -6,    0
  4769, 30320,19400108,   -8,    0
  4769, 30320,19400109,  -64,    0
  4769, 30320,19400110,  -92,    0
  4769, 30320,19400111,  -92,    0
  4769, 30320,19400112,  -70,    0
  4769, 30320,19400113,  -63,    0
  4769, 30320,19400114,   -4,    0
  4769, 30320,19400115,    7,    0
  4769, 30320,19400116,  -56,    0
  4769, 30320,19400117, -108,    0
  4769, 30320,19400118,  -94,    0
  4769, 30320,19400119, -110,    0
  4769, 30320,19400120,  -68,    0
  4769, 30320,19400121, -101,    0
  4769, 30320,19400122, -149,    0
  4769, 30320,19400123,  -30,    0
  4769, 30320,19400124,  -41,    0
  4769, 30320,19400125,  -77,    0
  4769, 30320,19400126,  -11,    0
  4769, 30320,19400127,  -40,    0
  4769, 30320,19400128,  -39,    0
  4769, 30320,19400129,  -57,    0
  4769, 30320,19400130,  -62,    0
  4769, 30320,19400131,  -40,    0
  4769, 30320,19400201,  -51,    0
  4769, 30320,19400202,  -38,    0
  4769, 30320,19400203,    2,    0
  4769, 30320,19400204,   11,    0
  4769, 30320,19400205,   56,    0
  4769, 30320,19400206,   46,    0
  4769, 30320,19400207,   56,    0
  4769, 30320,19400208,   24,    0
  4769, 30320,19400209,  -35,    0
  4769, 30320,19400210,  -75,    0
  4769, 30320,19400211,  -52,    0
  4769, 30320,19400212, -113,    0
  4769, 30320,19400213, -124,    0
  4769, 30320,19400214,  -85,    0
  4769, 30320,19400215,  -60,    0
  4769, 30320,19400216,  -17,    0
  4769, 30320,19400217,  -46,    0
  4769, 30320,19400218,  -46,    0
  4769, 30320,19400219,  -21,    0
  4769, 30320,19400220,  -13,    0
  4769, 30320,19400221,   40,    0
  4769, 30320,19400222,   77,    0
  4769, 30320,19400223,   98,    0
  4769, 30320,19400224,   76,    0
  4769, 30320,19400225,   30,    0
  4769, 30320,19400226,   53,    0
  4769, 30320,19400227,   86,    0
  4769, 30320,19400228,  121,    0
  4769, 30320,19400229,   41,    0
  4769, 30320,19400301,   13,    0
  4769, 30320,19400302,   -4,    0
  4769, 30320,19400303,   18,    0
  4769, 30320,19400304,   46,    0
  4769, 30320,19400305,   18,    0
  4769, 30320,19400306,   14,    0
  4769, 30320,19400307,   14,    0
  4769, 30320,19400308,    6,    0
  4769, 30320,19400309,   57,    0
  4769, 30320,19400310,   37,    0
  4769, 30320,19400311,  102,    0
  4769, 30320,19400312,  119,    0
  4769, 30320,19400313,  102,    0
  4769, 30320,19400314,   40,    0
  4769, 30320,19400315,   34,    0
  4769, 30320,19400316,   46,    0
  4769, 30320,19400317,   56,    0
  4769, 30320,19400318,  127,    0
  4769, 30320,19400319,  103,    0
  4769, 30320,19400320,   78,    0
  4769, 30320,19400321,   80,    0
  4769, 30320,19400322,  104,    0
  4769, 30320,19400323,   85,    0
  4769, 30320,19400324,   94,    0
  4769, 30320,19400325,  129,    0
  4769, 30320,19400326,  120,    0
  4769, 30320,19400327,   46,    0
  4769, 30320,19400328,   16,    0
  4769, 30320,19400329,   27,    0
  4769, 30320,19400330,   41,    0
  4769, 30320,19400331,   94,    0
  4769, 30320,19400401,  136,    0
  4769, 30320,19400402,   84,    0
  4769, 30320,19400403,   82,    0
  4769, 30320,19400404,   84,    0
  4769, 30320,19400405,   60,    0
  4769, 30320,19400406,   50,    0
  4769, 30320,19400407,   76,    0
  4769, 30320,19400408,   74,    0
  4769, 30320,19400409,   53,    0
  4769, 30320,19400410,   53,    0
  4769, 30320,19400411,   43,    0
  4769, 30320,19400412,   38,    0
  4769, 30320,19400413,   50,    0
  4769, 30320,19400414,   66,    0
  4769, 30320,19400415,   46,    0
  4769, 30320,19400416,   58,    0
  4769, 30320,19400417,   90,    0
  4769, 30320,19400418,  114,    0
  4769, 30320,19400419,  112,    0
  4769, 30320,19400420,  143,    0
  4769, 30320,19400421,  174,    0
  4769, 30320,19400422,  162,    0
  4769, 30320,19400423,  195,    0
  4769, 30320,19400424,  195,    0
  4769, 30320,19400425,  127,    0
  4769, 30320,19400426,  140,    0
  4769, 30320,19400427,  138,    0
  4769, 30320,19400428,  116,    0
  4769, 30320,19400429,  138,    0
  4769, 30320,19400430,  142,    0
  4769, 30320,19400501,  139,    0
  4769, 30320,19400502,  152,    0
  4769, 30320,19400503,  167,    0
  4769, 30320,19400504,  124,    0
  4769, 30320,19400505,  116,    0
  4769, 30320,19400506,  125,    0
  4769, 30320,19400507,  112,    0
  4769, 30320,19400508,  127,    0
  4769, 30320,19400509,  150,    0
  4769, 30320,19400510,  146,    0
  4769, 30320,19400511,  105,    0
  4769, 30320,19400512,   76,    0
  4769, 30320,19400513,   75,    0
  4769, 30320,19400514,  152,    0
  4769, 30320,19400515,  157,    0
  4769, 30320,19400516,   93,    0
  4769, 30320,19400517,  112,    0
  4769, 30320,19400518,  145,    0
  4769, 30320,19400519,  130,    0
  4769, 30320,19400520,  154,    0
  4769, 30320,19400521,  161,    0
  4769, 30320,19400522,  186,    0
  4769, 30320,19400523,  158,    0
  4769, 30320,19400524,  171,    0
  4769, 30320,19400525,  195,    0
  4769, 30320,19400526,  196,    0
  4769, 30320,19400527,  174,    0
  4769, 30320,19400528,  160,    0
  4769, 30320,19400529,  140,    0
  4769, 30320,19400530,  136,    0
  4769, 30320,19400531,  127,    0
  4769, 30320,19400601,  150,    0
  4769, 30320,19400602,  164,    0
  4769, 30320,19400603,  174,    0
  4769, 30320,19400604,  184,    0
  4769, 30320,19400605,  198,    0
  4769, 30320,19400606,  206,    0
  4769, 30320,19400607,  196,    0
  4769, 30320,19400608,  184,    0
  4769, 30320,19400609,  199,    0
  4769, 30320,19400610,  220,    0
  4769, 30320,19400611,  208,    0
  4769, 30320,19400612,  178,    0
  4769, 30320,19400613,  149,    0
  4769, 30320,19400614,  146,    0
  4769, 30320,19400615,  128,    0
  4769, 30320,19400616,  166,    0
  4769, 30320,19400617,  194,    0
  4769, 30320,19400618,  193,    0
  4769, 30320,19400619,  186,    0
  4769, 30320,19400620,  198,    0
  4769, 30320,19400621,  174,    0
  4769, 30320,19400622,  178,    0
  4769, 30320,19400623,  197,    0
  4769, 30320,19400624,  198,    0
  4769, 30320,19400625,  180,    0
  4769, 30320,19400626,  137,    0
  4769, 30320,19400627,  120,    0
  4769, 30320,19400628,  153,    0
  4769, 30320,19400629,  177,    0
  4769, 30320,19400630,  184,    0
  4769, 30320,19400701,  201,    0
  4769, 30320,19400702,  207,    0
  4769, 30320,19400703,  178,    0
  4769, 30320,19400704,  159,    0
  4769, 30320,19400705,  155,    0
  4769, 30320,19400706,  205,    0
  4769, 30320,19400707,  180,    0
  4769, 30320,19400708,  163,    0
  4769, 30320,19400709,  182,    0
  4769, 30320,19400710,  201,    0
  4769, 30320,19400711,  186,    0
  4769, 30320,19400712,  145,    0
  4769, 30320,19400713,  165,    0
  4769, 30320,19400714,  185,    0
  4769, 30320,19400715,  194,    0
  4769, 30320,19400716,  169,    0
  4769, 30320,19400717,  166,    0
  4769, 30320,19400718,  148,    0
  4769, 30320,19400719,  180,    0
  4769, 30320,19400720,  193,    0
  4769, 30320,19400721,  154,    0
  4769, 30320,19400722,  166,    0
  4769, 30320,19400723,  166,    0
  4769, 30320,19400724,  178,    0
  4769, 30320,19400725,  178,    0
  4769, 30320,19400726,  141,    0
  4769, 30320,19400727,  136,    0
  4769, 30320,19400728,  144,    0
  4769, 30320,19400729,  144,    0
  4769, 30320,19400730,  167,    0
  4769, 30320,19400731,  168,    0
  4769, 30320,19400801,  166,    0
  4769, 30320,19400802,  178,    0
  4769, 30320,19400803,  198,    0
  4769, 30320,19400804,  216,    0
  4769, 30320,19400805,  234,    0
  4769, 30320,19400806,  203,    0
  4769, 30320,19400807,  170,    0
  4769, 30320,19400808,  194,    0
  4769, 30320,19400809,  196,    0
  4769, 30320,19400810,  207,    0
  4769, 30320,19400811,  149,    0
  4769, 30320,19400812,  139,    0
  4769, 30320,19400813,  145,    0
  4769, 30320,19400814,  154,    0
  4769, 30320,19400815,  167,    0
  4769, 30320,19400816,  146,    0
  4769, 30320,19400817,  170,    0
  4769, 30320,19400818,  200,    0
  4769, 30320,19400819,  148,    0
  4769, 30320,19400820,  131,    0
  4769, 30320,19400821,  126,    0
  4769, 30320,19400822,  129,    0
  4769, 30320,19400823,  103,    0
  4769, 30320,19400824,  119,    0
  4769, 30320,19400825,  153,    0
  4769, 30320,19400826,  178,    0
  4769, 30320,19400827,  182,    0
  4769, 30320,19400828,  127,    0
  4769, 30320,19400829,  130,    0
  4769, 30320,19400830,  122,    0
  4769, 30320,19400831,  164,    0
  4769, 30320,19400901,  181,    0
  4769, 30320,19400902,  166,    0
  4769, 30320,19400903,  153,    0
  4769, 30320,19400904,  180,    0
  4769, 30320,19400905,  216,    0
  4769, 30320,19400906,  190,    0
  4769, 30320,19400907,  180,    0
  4769, 30320,19400908,  161,    0
  4769, 30320,19400909,  126,    0
  4769, 30320,19400910,  131,    0
  4769, 30320,19400911,  112,    0
  4769, 30320,19400912,  114,    0
  4769, 30320,19400913,  130,    0
  4769, 30320,19400914,  116,    0
  4769, 30320,19400915,  100,    0
  4769, 30320,19400916,  122,    0
  4769, 30320,19400917,  168,    0
  4769, 30320,19400918,  153,    0
  4769, 30320,19400919,  168,    0
  4769, 30320,19400920,  162,    0
  4769, 30320,19400921,  127,    0
  4769, 30320,19400922,  149,    0
  4769, 30320,19400923,  158,    0
  4769, 30320,19400924,  132,    0
  4769, 30320,19400925,  115,    0
