EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-12-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MALMO_2, SWEDEN (STAID: 5177)
Blended and updated with sources:35162 35165 35168 35171 35177 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5177, 35177,19450101,  -31,    0
  5177, 35177,19450102,   30,    0
  5177, 35177,19450103,   44,    0
  5177, 35177,19450104,    9,    0
  5177, 35177,19450105,  -15,    0
  5177, 35177,19450106,   -6,    0
  5177, 35177,19450107,    9,    0
  5177, 35177,19450108,    5,    0
  5177, 35177,19450109,  -14,    0
  5177, 35177,19450110,   -6,    0
  5177, 35177,19450111,    9,    0
  5177, 35177,19450112,   29,    0
  5177, 35177,19450113,    5,    0
  5177, 35177,19450114,    0,    0
  5177, 35177,19450115,  -13,    0
  5177, 35177,19450116,    2,    0
  5177, 35177,19450117,  -12,    0
  5177, 35177,19450118,   15,    0
  5177, 35177,19450119,   20,    0
  5177, 35177,19450120,    8,    0
  5177, 35177,19450121,  -17,    0
  5177, 35177,19450122,  -31,    0
  5177, 35177,19450123,  -56,    0
  5177, 35177,19450124,  -53,    0
  5177, 35177,19450125,  -49,    0
  5177, 35177,19450126,  -14,    0
  5177, 35177,19450127,  -36,    0
  5177, 35177,19450128,  -54,    0
  5177, 35177,19450129,  -57,    0
  5177, 35177,19450130,  -89,    0
  5177, 35177,19450131,  -29,    0
  5177, 35177,19450201,   22,    0
  5177, 35177,19450202,    4,    0
  5177, 35177,19450203,    8,    0
  5177, 35177,19450204,  -21,    0
  5177, 35177,19450205,    7,    0
  5177, 35177,19450206,   11,    0
  5177, 35177,19450207,   20,    0
  5177, 35177,19450208,   21,    0
  5177, 35177,19450209,   17,    0
  5177, 35177,19450210,   26,    0
  5177, 35177,19450211,   14,    0
  5177, 35177,19450212,    5,    0
  5177, 35177,19450213,   11,    0
  5177, 35177,19450214,   28,    0
  5177, 35177,19450215,   23,    0
  5177, 35177,19450216,   13,    0
  5177, 35177,19450217,    4,    0
  5177, 35177,19450218,    4,    0
  5177, 35177,19450219,    4,    0
  5177, 35177,19450220,   16,    0
  5177, 35177,19450221,   18,    0
  5177, 35177,19450222,   33,    0
  5177, 35177,19450223,   28,    0
  5177, 35177,19450224,   27,    0
  5177, 35177,19450225,   33,    0
  5177, 35177,19450226,   47,    0
  5177, 35177,19450227,   55,    0
  5177, 35177,19450228,   56,    0
  5177, 35177,19450301,   51,    0
  5177, 35177,19450302,   41,    0
  5177, 35177,19450303,   20,    0
  5177, 35177,19450304,   15,    0
  5177, 35177,19450305,    8,    0
  5177, 35177,19450306,    6,    0
  5177, 35177,19450307,    2,    0
  5177, 35177,19450308,   10,    0
  5177, 35177,19450309,   13,    0
  5177, 35177,19450310,   51,    0
  5177, 35177,19450311,   31,    0
  5177, 35177,19450312,   31,    0
  5177, 35177,19450313,   42,    0
  5177, 35177,19450314,   44,    0
  5177, 35177,19450315,   45,    0
  5177, 35177,19450316,   45,    0
  5177, 35177,19450317,   42,    0
  5177, 35177,19450318,   30,    0
  5177, 35177,19450319,   43,    0
  5177, 35177,19450320,   66,    0
  5177, 35177,19450321,   66,    0
  5177, 35177,19450322,   56,    0
  5177, 35177,19450323,   76,    0
  5177, 35177,19450324,   88,    0
  5177, 35177,19450325,  100,    0
  5177, 35177,19450326,   88,    0
  5177, 35177,19450327,   80,    0
  5177, 35177,19450328,   59,    0
  5177, 35177,19450329,   80,    0
  5177, 35177,19450330,   80,    0
  5177, 35177,19450331,   73,    0
  5177, 35177,19450401,   80,    0
  5177, 35177,19450402,   84,    0
  5177, 35177,19450403,   78,    0
  5177, 35177,19450404,   62,    0
  5177, 35177,19450405,   64,    0
  5177, 35177,19450406,   54,    0
  5177, 35177,19450407,   60,    0
  5177, 35177,19450408,   61,    0
  5177, 35177,19450409,   80,    0
  5177, 35177,19450410,   85,    0
  5177, 35177,19450411,   81,    0
  5177, 35177,19450412,   74,    0
  5177, 35177,19450413,   48,    0
  5177, 35177,19450414,   41,    0
  5177, 35177,19450415,   47,    0
  5177, 35177,19450416,   65,    0
  5177, 35177,19450417,   94,    0
  5177, 35177,19450418,   89,    0
  5177, 35177,19450419,   94,    0
  5177, 35177,19450420,  103,    0
  5177, 35177,19450421,   82,    0
  5177, 35177,19450422,   91,    0
  5177, 35177,19450423,   62,    0
  5177, 35177,19450424,   82,    0
  5177, 35177,19450425,   72,    0
  5177, 35177,19450426,   84,    0
  5177, 35177,19450427,   90,    0
  5177, 35177,19450428,  100,    0
  5177, 35177,19450429,   66,    0
  5177, 35177,19450430,   73,    0
  5177, 35177,19450501,   62,    0
  5177, 35177,19450502,   39,    0
  5177, 35177,19450503,   60,    0
  5177, 35177,19450504,   88,    0
  5177, 35177,19450505,   76,    0
  5177, 35177,19450506,   84,    0
  5177, 35177,19450507,  100,    0
  5177, 35177,19450508,  114,    0
  5177, 35177,19450509,  108,    0
  5177, 35177,19450510,  105,    0
  5177, 35177,19450511,  135,    0
  5177, 35177,19450512,  138,    0
  5177, 35177,19450513,  180,    0
  5177, 35177,19450514,  144,    0
  5177, 35177,19450515,  137,    0
  5177, 35177,19450516,  139,    0
  5177, 35177,19450517,  174,    0
  5177, 35177,19450518,  122,    0
  5177, 35177,19450519,  124,    0
  5177, 35177,19450520,  144,    0
  5177, 35177,19450521,  151,    0
