EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VOORSCHOTEN, NETHERLANDS (STAID: 10961)
Blended and updated with sources:1983 55390 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 10961,  1983,19510101,-9999,    9
 10961,  1983,19510102,   10,    0
 10961,  1983,19510103,    5,    0
 10961,  1983,19510104,   16,    0
 10961,  1983,19510105,   53,    0
 10961,  1983,19510106,   66,    0
 10961,  1983,19510107,   63,    0
 10961,  1983,19510108,   67,    0
 10961,  1983,19510109,   40,    0
 10961,  1983,19510110,   24,    0
 10961,  1983,19510111,   70,    0
 10961,  1983,19510112,   39,    0
 10961,  1983,19510113,   43,    0
 10961,  1983,19510114,   51,    0
 10961,  1983,19510115,   50,    0
 10961,  1983,19510116,   47,    0
 10961,  1983,19510117,   63,    0
 10961,  1983,19510118,   63,    0
 10961,  1983,19510119,   55,    0
 10961,  1983,19510120,   54,    0
 10961,  1983,19510121,   46,    0
 10961,  1983,19510122,   60,    0
 10961,  1983,19510123,   57,    0
 10961,  1983,19510124,   26,    0
 10961,  1983,19510125,   21,    0
 10961,  1983,19510126,   27,    0
 10961,  1983,19510127,   34,    0
 10961,  1983,19510128,   31,    0
 10961,  1983,19510129,   24,    0
 10961,  1983,19510130,   17,    0
 10961,  1983,19510131,   10,    0
 10961,  1983,19510201,   17,    0
 10961,  1983,19510202,    9,    0
 10961,  1983,19510203,   24,    0
 10961,  1983,19510204,   43,    0
 10961,  1983,19510205,   46,    0
 10961,  1983,19510206,   35,    0
 10961,  1983,19510207,   25,    0
 10961,  1983,19510208,   69,    0
 10961,  1983,19510209,   71,    0
 10961,  1983,19510210,   34,    0
 10961,  1983,19510211,   27,    0
 10961,  1983,19510212,   36,    0
 10961,  1983,19510213,   33,    0
 10961,  1983,19510214,   21,    0
 10961,  1983,19510215,   32,    0
 10961,  1983,19510216,   43,    0
 10961,  1983,19510217,   57,    0
 10961,  1983,19510218,   50,    0
 10961,  1983,19510219,   51,    0
 10961,  1983,19510220,   52,    0
 10961,  1983,19510221,   47,    0
 10961,  1983,19510222,   43,    0
 10961,  1983,19510223,   50,    0
 10961,  1983,19510224,   37,    0
 10961,  1983,19510225,   31,    0
 10961,  1983,19510226,   28,    0
 10961,  1983,19510227,   16,    0
 10961,  1983,19510228,   10,    0
 10961,  1983,19510301,   26,    0
 10961,  1983,19510302,   16,    0
 10961,  1983,19510303,   -1,    0
 10961,  1983,19510304,   -1,    0
 10961,  1983,19510305,   -2,    0
 10961,  1983,19510306,   13,    0
 10961,  1983,19510307,   32,    0
 10961,  1983,19510308,   15,    0
 10961,  1983,19510309,    5,    0
 10961,  1983,19510310,   11,    0
 10961,  1983,19510311,   50,    0
 10961,  1983,19510312,   56,    0
 10961,  1983,19510313,   89,    0
 10961,  1983,19510314,   73,    0
 10961,  1983,19510315,   63,    0
 10961,  1983,19510316,   74,    0
 10961,  1983,19510317,  108,    0
 10961,  1983,19510318,   84,    0
 10961,  1983,19510319,   46,    0
 10961,  1983,19510320,   35,    0
 10961,  1983,19510321,   37,    0
 10961,  1983,19510322,   55,    0
 10961,  1983,19510323,   76,    0
 10961,  1983,19510324,   47,    0
 10961,  1983,19510325,   37,    0
 10961,  1983,19510326,   45,    0
 10961,  1983,19510327,   42,    0
 10961,  1983,19510328,   33,    0
 10961,  1983,19510329,   14,    0
 10961,  1983,19510330,   27,    0
 10961,  1983,19510331,   38,    0
 10961,  1983,19510401,   71,    0
 10961,  1983,19510402,   62,    0
 10961,  1983,19510403,   62,    0
 10961,  1983,19510404,   64,    0
 10961,  1983,19510405,   69,    0
 10961,  1983,19510406,   80,    0
 10961,  1983,19510407,   83,    0
 10961,  1983,19510408,   59,    0
 10961,  1983,19510409,   64,    0
 10961,  1983,19510410,   56,    0
 10961,  1983,19510411,   45,    0
 10961,  1983,19510412,   71,    0
 10961,  1983,19510413,   68,    0
 10961,  1983,19510414,   45,    0
 10961,  1983,19510415,   62,    0
 10961,  1983,19510416,   70,    0
 10961,  1983,19510417,   48,    0
 10961,  1983,19510418,   57,    0
 10961,  1983,19510419,   70,    0
 10961,  1983,19510420,   66,    0
 10961,  1983,19510421,   41,    0
 10961,  1983,19510422,   59,    0
 10961,  1983,19510423,   94,    0
 10961,  1983,19510424,  114,    0
 10961,  1983,19510425,  132,    0
 10961,  1983,19510426,   86,    0
 10961,  1983,19510427,   67,    0
 10961,  1983,19510428,   53,    0
 10961,  1983,19510429,   47,    0
 10961,  1983,19510430,   61,    0
 10961,  1983,19510501,   99,    0
 10961,  1983,19510502,   99,    0
 10961,  1983,19510503,  127,    0
 10961,  1983,19510504,  129,    0
 10961,  1983,19510505,  102,    0
 10961,  1983,19510506,  107,    0
 10961,  1983,19510507,   97,    0
 10961,  1983,19510508,   81,    0
 10961,  1983,19510509,   90,    0
 10961,  1983,19510510,  113,    0
 10961,  1983,19510511,  100,    0
 10961,  1983,19510512,   85,    0
 10961,  1983,19510513,   80,    0
 10961,  1983,19510514,   78,    0
 10961,  1983,19510515,   87,    0
 10961,  1983,19510516,   85,    0
 10961,  1983,19510517,  108,    0
 10961,  1983,19510518,  131,    0
 10961,  1983,19510519,  153,    0
 10961,  1983,19510520,  129,    0
 10961,  1983,19510521,  108,    0
 10961,  1983,19510522,  106,    0
 10961,  1983,19510523,  134,    0
 10961,  1983,19510524,  159,    0
 10961,  1983,19510525,  129,    0
 10961,  1983,19510526,  136,    0
 10961,  1983,19510527,  133,    0
 10961,  1983,19510528,  117,    0
 10961,  1983,19510529,  110,    0
 10961,  1983,19510530,  107,    0
 10961,  1983,19510531,  131,    0
 10961,  1983,19510601,  146,    0
 10961,  1983,19510602,  138,    0
 10961,  1983,19510603,  122,    0
 10961,  1983,19510604,  119,    0
 10961,  1983,19510605,  120,    0
 10961,  1983,19510606,  134,    0
 10961,  1983,19510607,  109,    0
 10961,  1983,19510608,  139,    0
 10961,  1983,19510609,  150,    0
 10961,  1983,19510610,  132,    0
 10961,  1983,19510611,  148,    0
 10961,  1983,19510612,  160,    0
 10961,  1983,19510613,  152,    0
 10961,  1983,19510614,  184,    0
 10961,  1983,19510615,  147,    0
 10961,  1983,19510616,  154,    0
 10961,  1983,19510617,  152,    0
 10961,  1983,19510618,  133,    0
 10961,  1983,19510619,  126,    0
 10961,  1983,19510620,  135,    0
 10961,  1983,19510621,  186,    0
 10961,  1983,19510622,  176,    0
 10961,  1983,19510623,  142,    0
 10961,  1983,19510624,  135,    0
 10961,  1983,19510625,  151,    0
 10961,  1983,19510626,  126,    0
 10961,  1983,19510627,  129,    0
 10961,  1983,19510628,  133,    0
 10961,  1983,19510629,  124,    0
 10961,  1983,19510630,  121,    0
 10961,  1983,19510701,  129,    0
 10961,  1983,19510702,  160,    0
 10961,  1983,19510703,  174,    0
 10961,  1983,19510704,  145,    0
 10961,  1983,19510705,  130,    0
 10961,  1983,19510706,  158,    0
 10961,  1983,19510707,  169,    0
 10961,  1983,19510708,  168,    0
 10961,  1983,19510709,  167,    0
 10961,  1983,19510710,  182,    0
 10961,  1983,19510711,  179,    0
 10961,  1983,19510712,  166,    0
 10961,  1983,19510713,  150,    0
 10961,  1983,19510714,  145,    0
 10961,  1983,19510715,  134,    0
 10961,  1983,19510716,  145,    0
 10961,  1983,19510717,  163,    0
 10961,  1983,19510718,  159,    0
 10961,  1983,19510719,  158,    0
 10961,  1983,19510720,  160,    0
 10961,  1983,19510721,  148,    0
 10961,  1983,19510722,  182,    0
 10961,  1983,19510723,  172,    0
 10961,  1983,19510724,  147,    0
 10961,  1983,19510725,  149,    0
 10961,  1983,19510726,  156,    0
 10961,  1983,19510727,  172,    0
 10961,  1983,19510728,  177,    0
 10961,  1983,19510729,  169,    0
 10961,  1983,19510730,  183,    0
 10961,  1983,19510731,  204,    0
 10961,  1983,19510801,  192,    0
 10961,  1983,19510802,  186,    0
 10961,  1983,19510803,  185,    0
 10961,  1983,19510804,  181,    0
 10961,  1983,19510805,  174,    0
 10961,  1983,19510806,  195,    0
 10961,  1983,19510807,  174,    0
 10961,  1983,19510808,  160,    0
 10961,  1983,19510809,  163,    0
 10961,  1983,19510810,  145,    0
 10961,  1983,19510811,  147,    0
 10961,  1983,19510812,  156,    0
 10961,  1983,19510813,  147,    0
 10961,  1983,19510814,  152,    0
 10961,  1983,19510815,  142,    0
 10961,  1983,19510816,  137,    0
 10961,  1983,19510817,  140,    0
 10961,  1983,19510818,  161,    0
 10961,  1983,19510819,  166,    0
 10961,  1983,19510820,  159,    0
 10961,  1983,19510821,  152,    0
 10961,  1983,19510822,  168,    0
 10961,  1983,19510823,  158,    0
