EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-09-2018
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ORLY, FRANCE (STAID: 11249)
Blended and updated with sources:71642 907149 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11249, 71642,19210301,   50,    0
 11249, 71642,19210302,   46,    0
 11249, 71642,19210303,   46,    0
 11249, 71642,19210304,   31,    0
 11249, 71642,19210305,   95,    0
 11249, 71642,19210306,   72,    0
 11249, 71642,19210307,   54,    0
 11249, 71642,19210308,   33,    0
 11249, 71642,19210309,   50,    0
 11249, 71642,19210310,   71,    0
 11249, 71642,19210311,   82,    0
 11249, 71642,19210312,   93,    0
 11249, 71642,19210313,   98,    0
 11249, 71642,19210314,  105,    0
 11249, 71642,19210315,   95,    0
 11249, 71642,19210316,   85,    0
 11249, 71642,19210317,  102,    0
 11249, 71642,19210318,   76,    0
 11249, 71642,19210319,   55,    0
 11249, 71642,19210320,   64,    0
 11249, 71642,19210321,   78,    0
 11249, 71642,19210322,   72,    0
 11249, 71642,19210323,   96,    0
 11249, 71642,19210324,  112,    0
 11249, 71642,19210325,  116,    0
 11249, 71642,19210326,  109,    0
 11249, 71642,19210327,   68,    0
 11249, 71642,19210328,   66,    0
 11249, 71642,19210329,   66,    0
 11249, 71642,19210330,   64,    0
 11249, 71642,19210331,   80,    0
 11249, 71642,19210401,   96,    0
 11249, 71642,19210402,  120,    0
 11249, 71642,19210403,  149,    0
 11249, 71642,19210404,  122,    0
 11249, 71642,19210405,   74,    0
 11249, 71642,19210406,   94,    0
 11249, 71642,19210407,   78,    0
 11249, 71642,19210408,   79,    0
 11249, 71642,19210409,   76,    0
 11249, 71642,19210410,  124,    0
 11249, 71642,19210411,  176,    0
 11249, 71642,19210412,  143,    0
 11249, 71642,19210413,  159,    0
 11249, 71642,19210414,   84,    0
 11249, 71642,19210415,   35,    0
 11249, 71642,19210416,   26,    0
 11249, 71642,19210417,   33,    0
 11249, 71642,19210418,   45,    0
 11249, 71642,19210419,   60,    0
 11249, 71642,19210420,   64,    0
 11249, 71642,19210421,   71,    0
 11249, 71642,19210422,   79,    0
 11249, 71642,19210423,  105,    0
 11249, 71642,19210424,   92,    0
 11249, 71642,19210425,   94,    0
 11249, 71642,19210426,  113,    0
 11249, 71642,19210427,  158,    0
 11249, 71642,19210428,  152,    0
 11249, 71642,19210429,  144,    0
 11249, 71642,19210430,  141,    0
 11249, 71642,19210501,  126,    0
 11249, 71642,19210502,  120,    0
 11249, 71642,19210503,   93,    0
 11249, 71642,19210504,   44,    0
 11249, 71642,19210505,   98,    0
 11249, 71642,19210506,   92,    0
 11249, 71642,19210507,  146,    0
 11249, 71642,19210508,  150,    0
 11249, 71642,19210509,  124,    0
 11249, 71642,19210510,  132,    0
 11249, 71642,19210511,  142,    0
 11249, 71642,19210512,  160,    0
 11249, 71642,19210513,  160,    0
 11249, 71642,19210514,  163,    0
 11249, 71642,19210515,  175,    0
 11249, 71642,19210516,  132,    0
 11249, 71642,19210517,  136,    0
 11249, 71642,19210518,  134,    0
 11249, 71642,19210519,  154,    0
 11249, 71642,19210520,  178,    0
 11249, 71642,19210521,  164,    0
 11249, 71642,19210522,  176,    0
 11249, 71642,19210523,  174,    0
 11249, 71642,19210524,  194,    0
 11249, 71642,19210525,  208,    0
 11249, 71642,19210526,  191,    0
 11249, 71642,19210527,  154,    0
 11249, 71642,19210528,  128,    0
 11249, 71642,19210529,  114,    0
 11249, 71642,19210530,  131,    0
 11249, 71642,19210531,  172,    0
 11249, 71642,19210601,  148,    0
 11249, 71642,19210602,  193,    0
 11249, 71642,19210603,  172,    0
 11249, 71642,19210604,  204,    0
 11249, 71642,19210605,  166,    0
 11249, 71642,19210606,  188,    0
 11249, 71642,19210607,  198,    0
 11249, 71642,19210608,  194,    0
 11249, 71642,19210609,  174,    0
 11249, 71642,19210610,  134,    0
 11249, 71642,19210611,  138,    0
 11249, 71642,19210612,  147,    0
 11249, 71642,19210613,  144,    0
 11249, 71642,19210614,  154,    0
 11249, 71642,19210615,  156,    0
 11249, 71642,19210616,  181,    0
 11249, 71642,19210617,  178,    0
 11249, 71642,19210618,  166,    0
 11249, 71642,19210619,  125,    0
 11249, 71642,19210620,  139,    0
 11249, 71642,19210621,  150,    0
 11249, 71642,19210622,  136,    0
 11249, 71642,19210623,  172,    0
 11249, 71642,19210624,  200,    0
 11249, 71642,19210625,  217,    0
 11249, 71642,19210626,  204,    0
 11249, 71642,19210627,  201,    0
 11249, 71642,19210628,  192,    0
 11249, 71642,19210629,  189,    0
 11249, 71642,19210630,  180,    0
 11249, 71642,19210701,  154,    0
