,"City","fr","de","lang","Country","lat","lon","station_id"
34,"Helsinki",,,,"Finland",60.1674086,24.9425683,"(7015, 'HELSINKI KAISANIEMI AWS')"
67,"Tallinn",,,,"Estonia",59.4372155,24.7453688,"(11363, 'TALLINN')"
19,"Stockholm",,,,"Sweden",59.3251172,18.0710935,"(5464, 'STOCKHOLM_A')"
48,"Gothenburg",,,,"Sweden",57.7072326,11.9670171,"(462, 'GOTEBORG A')"
28,"Riga",,,,"Latvia",56.9493977,24.1051846,"(992, 'RIGA; UNIVERCITY')"
61,"Edinburgh",,,,"United Kingdom",55.9496416,-3.1902352,"(1832, 'EDINBURGH: ROYAL BOTANIC GARDEN')"
40,"Copenhagen","Copenhague",,,"Denmark",55.6867243,12.5700724,"(116, 'KOEBENHAVN: LANDBOHOJSKOLEN-1')"
94,"Malmö",,,,"Sweden",55.6052931,13.0001566,"(5177, 'MALMO_2')"
44,"Vilnius",,,,"Lithuania",54.6870458,25.2829111,"(202, 'VILNIUS')"
88,"Belfast",,,,"United Kingdom",54.5969869,-5.9300992,"(1821, 'STORMONT CASTLE')"
25,"Leeds",,,,"United Kingdom",53.7974185,-1.5437941,"(1847, 'BRADFORD')"
7,"Hamburg","Hambourg",,"de","Germany",53.550341,10.000654,"(4180, 'HAMBURG-BOTANISCHER GARTEN')"
71,"Szczecin",,"Stettin",,"Poland",53.42968095,14.59291267,"(208, 'SZCZECIN')"
63,"Liverpool",,,,"United Kingdom",53.4054719,-2.9805392,"(1807, 'HAWARDEN BRIDGE')"
45,"Sheffield",,,,"United Kingdom",53.3806626,-1.4702278,"(1848, 'SHEFFIELD')"
50,"Dublin",,,,"Ireland",53.3497645,-6.2602732,"(1715, 'DUBLIN (MERRION SQUARE)')"
49,"Bremen","Brême",,"de","Germany",53.0758196,8.8071646,"(4884, 'BREMEN-SEEFAHRTSCHULE')"
97,"Nottingham",,,,"United Kingdom",52.9534161,-1.1492773,"(1850, 'NOTTINGHAM: WATNALL')"
82,"Leicester",,,,"United Kingdom",52.6361398,-1.1330789,"(1852, 'NEWTOWN LINFORD')"
1,"Berlin",,,"de","Germany",52.5170365,13.3888599,"(4563, 'BERLIN-MITTE')"
16,"Birmingham",,,,"United Kingdom",52.4775396,-1.894053,"(257, 'CET CENTRAL ENGLAND')"
22,"Amsterdam",,,,"Netherlands",52.3745403,4.897975506,"(593, 'SCHIPHOL')"
56,"Hanover","Hanovre",,"de","Germany",52.3744779,9.7385532,"(476, 'HANNOVER')"
8,"Warsaw","Varsovie","Warschau",,"Poland",52.2319237,21.0067265,"(209, 'WARSZAWA-OKECIE')"
83,"Utrecht",,,,"Netherlands",52.08095165,5.127680315,"(162, 'DE BILT')"
57,"The Hague","La Haye",,,"Netherlands",52.0799838,4.3113461,"(10961, 'VOORSCHOTEN')"
105,"Münster",,,"de","Germany",51.9501317,7.61330165,"(53, 'MUENSTER')"
36,"Rotterdam",,,,"Netherlands",51.92779805,4.488623269,"(598, 'ROTTERDAM')"
41,"Dortmund",,,"de","Germany",51.5142273,7.4652789,"(4021, 'DORTMUND')"
0,"London","Londres",,,"United Kingdom",51.5073219,-0.1276474,"(1859, 'HAMPSTEAD')"
76,"Bochum",,,"de","Germany",51.4818111,7.2196635,"(4769, 'BOCHUM')"
43,"Essen",,,"de","Germany",51.457087,7.011429,"(4074, 'ESSEN-BREDENEY')"
62,"Duisburg",,,"de","Germany",51.434999,6.759562,"(4031, 'DUISBURG-LAAR')"
